layer,cosine_sim,cosine_sim_adjusted
0,0.6688724160194397,0.35490211844444275
1,0.6128077507019043,0.3755696713924408
2,0.6664251685142517,0.3694940209388733
3,0.6647194623947144,0.41315099596977234
4,0.68260657787323,0.44828131794929504
5,0.7109377980232239,0.45858234167099
6,0.7206215262413025,0.49402594566345215
7,0.7400744557380676,0.5226408243179321
8,0.7473043203353882,0.5255160331726074
9,0.7619033455848694,0.5254582762718201
10,0.766276478767395,0.5403385162353516
11,0.7661860585212708,0.5430202484130859
12,0.7820242047309875,0.5473418831825256
13,0.7793089151382446,0.5659382343292236
14,0.7748786807060242,0.5648897886276245
15,0.7772274613380432,0.5621962547302246
16,0.7757110595703125,0.5625994801521301
17,0.768785834312439,0.5485743284225464
18,0.7700507044792175,0.5203110575675964
19,0.7568226456642151,0.5112442970275879
20,0.7424166202545166,0.48608508706092834
21,0.7328211069107056,0.46275362372398376
22,0.7278457283973694,0.4357970952987671
23,0.725356936454773,0.40992939472198486
24,0.7059891223907471,0.37889838218688965
25,0.7000870704650879,0.3748495876789093
26,0.6648699045181274,0.34092700481414795
27,0.64808589220047,0.33052965998649597
28,0.6351814866065979,0.31637898087501526
29,0.603935956954956,0.3166576623916626
30,0.5982585549354553,0.31202197074890137
31,0.5882010459899902,0.3164597153663635
