seed,language,layer,id,r
44,fr,0,12.579975813404833,0.4434258227022769
44,fr,1,14.26742781182931,0.6981331470649192
44,fr,2,14.777003975597564,0.7314787955963119
44,fr,3,14.983261001126705,0.8262933926671603
44,fr,4,15.848538987428254,0.8907682700216791
44,fr,5,15.761528612626053,0.9021068709838833
44,fr,6,17.126701170194437,0.9253800297134542
44,fr,7,17.675891675015997,0.9504067805302082
44,fr,8,19.137328260994508,0.9664354020985102
44,fr,9,19.28679417103988,0.9714655644116996
44,fr,10,20.109814172323684,0.9712115579698495
44,fr,11,20.645309670460463,0.9633116786106245
44,fr,12,20.80229374154488,0.9626323021010877
44,fr,13,19.658187373670973,0.9620104180020825
44,fr,14,19.332915148925807,0.9575372615871105
44,fr,15,18.54673743963877,0.9383676759662642
44,fr,16,17.49203947047835,0.9215377493770559
44,fr,17,17.095881166494134,0.915467071551656
44,fr,18,16.500979025926654,0.9053983000836177
44,fr,19,16.55761389274089,0.9040102924412862
44,fr,20,16.03591335344735,0.8964093514510384
44,fr,21,15.831393446890543,0.8923549040965495
44,fr,22,15.561109227207838,0.8890761131106929
44,fr,23,15.245505651908234,0.884946171558648
44,fr,24,15.105566760962741,0.8745580190170092
44,fr,25,15.258294638788266,0.8686996894154599
44,fr,26,15.181188312994346,0.8548445589236178
44,fr,27,15.022698993241418,0.8481421080191323
44,fr,28,15.102402574616676,0.8395355127975218
44,fr,29,15.388606409619891,0.8285916026349487
44,fr,30,15.438918653710985,0.8174647954133032
44,fr,31,15.140369001920437,0.8105102736432004
