layer,cosine_sim,cosine_sim_adjusted
0,0.6839316487312317,0.34577319025993347
1,0.6441104412078857,0.37059110403060913
2,0.6909133791923523,0.36293163895606995
3,0.6738538146018982,0.3994216024875641
4,0.6778079271316528,0.42826008796691895
5,0.7000458836555481,0.4358189105987549
6,0.7071759700775146,0.470289021730423
7,0.7243447303771973,0.4983462989330292
8,0.7300662398338318,0.49854499101638794
9,0.7412912249565125,0.4937317967414856
10,0.7423505783081055,0.5066004395484924
11,0.7407798171043396,0.5067827701568604
12,0.7569832801818848,0.5126960873603821
13,0.7551416754722595,0.5308699607849121
14,0.7534412145614624,0.5323925614356995
15,0.7622885704040527,0.5353017449378967
16,0.7584952116012573,0.533886194229126
17,0.7525789737701416,0.5203719735145569
18,0.7514334321022034,0.49301478266716003
19,0.7371664643287659,0.48315659165382385
20,0.7240630984306335,0.46057263016700745
21,0.7152810096740723,0.43852582573890686
22,0.7079827785491943,0.4109148681163788
23,0.7060667276382446,0.387535959482193
24,0.6801406145095825,0.3547958731651306
25,0.6704307794570923,0.34893450140953064
26,0.6563490033149719,0.3226398825645447
27,0.6371883749961853,0.311190128326416
28,0.6218622922897339,0.29667356610298157
29,0.5923712849617004,0.2986571788787842
30,0.5885646939277649,0.29529350996017456
31,0.5826783776283264,0.2950039505958557
