language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
de,0,12.475531398913041,0.30982333677459856,12.475531 +- 0.309823,3,0.31575223129436697,0.005591710528926766,0.315752 +- 0.005592,3
de,1,14.50822592117317,0.29405962340570124,14.508226 +- 0.294060,3,0.6836478866530119,0.005835088487075053,0.683648 +- 0.005835,3
de,2,15.976934039777978,0.5282768485394945,15.976934 +- 0.528277,3,0.7153845807823207,0.004427139839736616,0.715385 +- 0.004427,3
de,3,16.21571112819298,0.22397212397920674,16.215711 +- 0.223972,3,0.8056912162708366,0.00557998958496422,0.805691 +- 0.005580,3
de,4,17.476204053669576,0.32629898179324013,17.476204 +- 0.326299,3,0.8727850387562801,0.006256983563593418,0.872785 +- 0.006257,3
de,5,16.710674301867442,0.8123812255014465,16.710674 +- 0.812381,3,0.8882927006560462,0.005819311087214645,0.888293 +- 0.005819,3
de,6,17.118205169452104,1.034371631303394,17.118205 +- 1.034372,3,0.9124880084650342,0.00740977749887308,0.912488 +- 0.007410,3
de,7,17.50668174846381,1.126965628720558,17.506682 +- 1.126966,3,0.9360784695770195,0.0077068862809470265,0.936078 +- 0.007707,3
de,8,17.794907204075013,0.8831699076920749,17.794907 +- 0.883170,3,0.9542447878755619,0.008107778208410025,0.954245 +- 0.008108,3
de,9,18.04923179077449,0.8411010953453488,18.049232 +- 0.841101,3,0.9579028834636147,0.007444260757516492,0.957903 +- 0.007444,3
de,10,18.58835944292226,1.2148187022575276,18.588359 +- 1.214819,3,0.9573044763301854,0.007398587108462114,0.957304 +- 0.007399,3
de,11,18.642110317601038,0.958842353888492,18.642110 +- 0.958842,3,0.9498406992209874,0.007543085211728231,0.949841 +- 0.007543,3
de,12,19.199531877795362,0.8595078195716197,19.199532 +- 0.859508,3,0.9479784097632938,0.006669948433448009,0.947978 +- 0.006670,3
de,13,19.792706662603788,0.6018738134502574,19.792707 +- 0.601874,3,0.9542024935150086,0.006231476015428401,0.954202 +- 0.006231,3
de,14,19.45137971606219,0.6626437613508026,19.451380 +- 0.662644,3,0.9472844668139099,0.006444296463040946,0.947284 +- 0.006444,3
de,15,18.742669618632505,0.6931983507165622,18.742670 +- 0.693198,3,0.9342898415366261,0.004973281793129635,0.934290 +- 0.004973,3
de,16,18.10598355448826,0.5058890033515391,18.105984 +- 0.505889,3,0.9155806012981776,0.0028339037909667487,0.915581 +- 0.002834,3
de,17,17.451543705297816,0.5978544171718767,17.451544 +- 0.597854,3,0.911496054815111,0.002151679874317112,0.911496 +- 0.002152,3
de,18,16.684791246155523,0.5579368205853662,16.684791 +- 0.557937,3,0.899681713647246,0.0018188367275820548,0.899682 +- 0.001819,3
de,19,16.451110082523495,0.5031187121582205,16.451110 +- 0.503119,3,0.8969174731298583,0.00168663235371899,0.896917 +- 0.001687,3
de,20,16.43756013124585,0.6473125875771076,16.437560 +- 0.647313,3,0.8902887593940401,0.0011905695940053278,0.890289 +- 0.001191,3
de,21,16.79481090384569,0.8159786634322675,16.794811 +- 0.815979,3,0.8851034443979529,0.0008949203604113109,0.885103 +- 0.000895,3
de,22,16.829500892838066,0.6828166367308084,16.829501 +- 0.682817,3,0.8808417142114483,0.0007684784275427756,0.880842 +- 0.000768,3
de,23,16.72438732169902,0.6029737167737351,16.724387 +- 0.602974,3,0.8763106605630115,0.0011027389919910674,0.876311 +- 0.001103,3
de,24,16.417371884649594,0.44619494854670694,16.417372 +- 0.446195,3,0.8653312685890959,0.00220663732118542,0.865331 +- 0.002207,3
de,25,16.456879333250466,0.44482378307479664,16.456879 +- 0.444824,3,0.8574507792223135,0.002439573208077215,0.857451 +- 0.002440,3
de,26,16.290325177339803,0.42382187637593427,16.290325 +- 0.423822,3,0.8437854916341906,0.003093876143998865,0.843785 +- 0.003094,3
de,27,16.334138841879152,0.3377788563127306,16.334139 +- 0.337779,3,0.8346502003278002,0.003408035735458775,0.834650 +- 0.003408,3
de,28,16.26192904505828,0.3286315391011357,16.261929 +- 0.328632,3,0.823472762068186,0.0038949930537639558,0.823473 +- 0.003895,3
de,29,16.163440584867416,0.2823659953057527,16.163441 +- 0.282366,3,0.8075083424975132,0.0036335097488755796,0.807508 +- 0.003634,3
de,30,16.031772940105498,0.44679239560588496,16.031773 +- 0.446792,3,0.7944786829481466,0.00403729769155238,0.794479 +- 0.004037,3
de,31,15.763892715573164,0.4257745947972455,15.763893 +- 0.425775,3,0.8014623238717007,0.0032777067225883234,0.801462 +- 0.003278,3
en,0,11.622628835951907,0.8221829753930879,11.622629 +- 0.822183,3,0.4750676949807736,0.016202245920527377,0.475068 +- 0.016202,3
en,1,15.322981452637684,0.7735143258494512,15.322981 +- 0.773514,3,0.7215853295011281,0.013256268942832708,0.721585 +- 0.013256,3
en,2,14.591753775380178,0.5038962599489687,14.591754 +- 0.503896,3,0.7505362602359412,0.013546764371129874,0.750536 +- 0.013547,3
en,3,15.672722830558431,0.9502748120202332,15.672723 +- 0.950275,3,0.8218637080114168,0.013549209090341038,0.821864 +- 0.013549,3
en,4,16.364604064365796,0.752954224717595,16.364604 +- 0.752954,3,0.8779460650400389,0.011692721583461444,0.877946 +- 0.011693,3
en,5,16.07738161424996,1.5083808879773777,16.077382 +- 1.508381,3,0.8874145285565641,0.010081250192845082,0.887415 +- 0.010081,3
en,6,16.188167523020688,1.5806295095943974,16.188168 +- 1.580630,3,0.9081152852160161,0.009248575592702165,0.908115 +- 0.009249,3
en,7,16.617290567452237,1.4620096513712773,16.617291 +- 1.462010,3,0.9263773161833403,0.008838549304090254,0.926377 +- 0.008839,3
en,8,17.556943717789924,1.5638374184142185,17.556944 +- 1.563837,3,0.9425178973322883,0.008746233869748482,0.942518 +- 0.008746,3
en,9,17.734721936079897,1.9097159635890575,17.734722 +- 1.909716,3,0.956535473329837,0.008046448443085151,0.956535 +- 0.008046,3
en,10,17.745079897504283,1.6905107355964673,17.745080 +- 1.690511,3,0.961082033066373,0.008656081487720506,0.961082 +- 0.008656,3
en,11,17.79540371621665,1.5384279622680925,17.795404 +- 1.538428,3,0.9506141807100597,0.00843985703714465,0.950614 +- 0.008440,3
en,12,17.973820664599838,1.5772924585756447,17.973821 +- 1.577292,3,0.950433959070637,0.007686451432849344,0.950434 +- 0.007686,3
en,13,18.68227712573636,1.5889248277430943,18.682277 +- 1.588925,3,0.9540949935506869,0.007631653216299472,0.954095 +- 0.007632,3
en,14,19.092120171001508,1.5620044113899016,19.092120 +- 1.562004,3,0.9507692092633357,0.007003284350166137,0.950769 +- 0.007003,3
en,15,18.445779621592962,1.2935563271155575,18.445780 +- 1.293556,3,0.9378987161213015,0.006436061563934853,0.937899 +- 0.006436,3
en,16,17.964484082250127,1.341305489245064,17.964484 +- 1.341305,3,0.9210755677021181,0.005961387906447991,0.921076 +- 0.005961,3
en,17,17.528468750176167,1.2749867813543332,17.528469 +- 1.274987,3,0.9156137958466729,0.006139898773575989,0.915614 +- 0.006140,3
en,18,17.190074684244433,1.5415093598336576,17.190075 +- 1.541509,3,0.9076952475486462,0.0059043297156811565,0.907695 +- 0.005904,3
en,19,17.020616701732884,1.156646739614513,17.020617 +- 1.156647,3,0.9085463549283939,0.005131320360158841,0.908546 +- 0.005131,3
en,20,17.034536586259225,1.0483912939477464,17.034537 +- 1.048391,3,0.9119279481707877,0.0046739488243195855,0.911928 +- 0.004674,3
