,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
mapo_enesru_llama3_8b_dpo_200426,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
mapo_enesru_llama3_8b_w-reinforce,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
mapo_enesru_llama3_8b_dpo,18.75776397515528,1.37393627241271,community,1571,150,653,2,805,18.75776397515528,13.721043826061988,0.2211960419822993
lacomsa_enesru_llama3_8b_w-reinforce,18.695652173913043,1.3735834933977955,community,1649,150,654,1,805,18.695652173913043,13.292000364352438,0.1644580894500956
mapo_enesru_llama3_8b_npo_checkpoint-5,18.75776397515528,1.37393627241271,community,1637,150,653,2,805,18.75776397515528,13.098800345133164,0.2231112919108068
mapo_enesru_llama3_8b_npo_checkpoint-4,17.82608695652174,1.3483607743743429,community,1610,143,661,1,805,17.82608695652174,13.026313027207497,0.231474978850958
mapo_enesru_llama3_8b_npo_checkpoint-3,18.07453416149068,1.355685944187936,community,1638,145,659,1,805,18.07453416149068,12.986174845558898,0.2576726339387726
lacomsa_enesru_llama3_8b_npo_checkpoint-5,17.70186335403727,1.3446618150806835,community,1659,142,662,1,805,17.70186335403727,12.97650077305805,0.2306968848021209
lacomsa_enesru_llama3_8b_npo_checkpoint-2,17.82608695652174,1.3483607743743429,community,1649,143,661,1,805,17.82608695652174,12.600514817981283,0.2179123165207203
icr_enesru_llama3_8b_sft_150426,15.403726708074531,1.2730940658042815,community,2048,124,681,0,805,15.403726708074531,12.308538157530204,0.1801463723953709
icr_enesru_llama3_8b_ppo,17.018633540372672,1.325331774127577,community,1661,137,668,0,805,17.018633540372672,12.148100705828464,0.2571336881645576
lacomsa_enesru_llama3_8b_npo_checkpoint-4,17.267080745341616,1.3329707204687145,community,1627,139,666,0,805,17.267080745341616,11.892639092117657,0.2103396760459605
lacomsa_enesru_llama3_8b_npo_checkpoint-3,17.70186335403727,1.3446618150806835,community,1615,142,662,1,805,17.70186335403727,11.884172899448854,0.2380491504667053
icr_enesru_llama3_8b_npo_checkpoint-1,16.832298136645964,1.3180709007126323,community,1640,135,669,1,805,16.832298136645964,11.276383696313165,0.2162903588625329
icr_enesru_llama3_8b_sft,14.906832298136646,1.2560646812143663,community,2049,120,685,0,805,14.906832298136646,11.235985475678204,0.2000109405660191
mapo_enesru_llama3_8b_ppo,9.751552795031056,1.0406810625180496,community,1170,77,725,3,805,9.751552795031056,10.479561318667836,0.2556403359759943
mapo_enesru_llama3_8b_sft,7.515527950310559,0.923540171486482,community,991,59,743,3,805,7.515527950310559,9.04754007283286,0.252902324782198
mapo_enesru_llama3_8b_npo,1.1180124223602486,0.3708120885962266,community,4479,9,796,0,805,1.1180124223602486,0.2868902930011138,0.0137935247081351
icr_enesru_llama3_8b_npo,0.0,0.0,community,15,0,805,0,805,0.0,0.0019528944836195,0.0001432680233829
lacomsa_enesru_llama3_8b_npo,0.0,0.0,community,2952,0,805,0,805,0.0,0.0001758042505879,1.290915821849927e-05
