,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,18.20,20.93,1.43,community,1687,167,635,3,805,20.93,0.23
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.18,24.41,1.51,community,1905,195,607,3,805,24.41,0.25
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.14,22.67,1.47,community,1886,181,621,3,805,22.67,0.31
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,18.10,22.24,1.46,community,1804,178,625,2,805,22.24,0.24
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,18.09,23.73,1.50,community,1887,190,613,2,805,23.73,0.27
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,18.05,20.00,1.41,community,1680,159,642,4,805,20.00,0.33
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.97,22.92,1.48,community,1873,183,619,3,805,22.92,0.29
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.88,23.48,1.49,community,1887,188,615,2,805,23.48,0.28
llama3_8b_minv2_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.81,21.99,1.46,community,1837,176,627,2,805,21.99,0.25
llama3_8b_ma_lacomsa_top30_corr0.9_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.74,22.80,1.48,community,1902,182,620,3,805,22.80,0.32
llama3_8b_min_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.74,21.86,1.46,community,1822,175,628,2,805,21.86,0.25
lacomsa_w-reinforce_random,17.68,19.81,1.40,community,1777,158,644,3,805,19.81,0.26
llama3_8b_ma_lacomsa_top7_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,17.65,23.11,1.48,community,1875,185,618,2,805,23.11,0.32
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.60,18.82,1.37,community,1650,150,652,3,805,18.82,0.32
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,17.53,19.19,1.38,community,1648,153,649,3,805,19.19,0.30
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.50,19.69,1.40,community,1673,157,645,3,805,19.69,0.24
llama3_8b_lacomsa_high_lang_easy_lc_seed43,17.49,21.12,1.44,community,1693,169,634,2,805,21.12,0.26
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,17.49,19.81,1.40,community,1655,158,644,3,805,19.81,0.28
llama3_8b_ms01_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,17.43,23.23,1.49,community,1911,186,617,2,805,23.23,0.24
lacomsa_enesru_llama3_8b_w-reinforce_negative,17.41,19.88,1.40,community,1717,159,644,2,805,19.88,0.25
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,17.31,23.60,1.49,community,1970,189,614,2,805,23.60,0.28
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.25,24.10,1.51,community,1897,193,610,2,805,24.10,0.26
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,17.24,22.86,1.48,community,1869,183,620,2,805,22.86,0.28
lacomsa_enesru_llama3_8b_w-reinforce,17.24,19.69,1.40,community,1695,157,645,3,805,19.69,0.27
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.09,20.93,1.43,community,1807,167,635,3,805,20.93,0.28
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,16.98,19.44,1.39,community,1671,155,647,3,805,19.44,0.29
llama3_8b_lacomsa_high_lang_easy_lc_seed42,16.95,20.00,1.41,community,1710,160,643,2,805,20.00,0.32
llama3_8b_max_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.94,21.61,1.45,community,1778,173,630,2,805,21.61,0.27
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,16.94,21.06,1.43,community,1750,168,634,3,805,21.06,0.25
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.80,20.12,1.41,community,1762,161,642,2,805,20.12,0.30
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,16.75,21.06,1.43,community,1853,168,634,3,805,21.06,0.28
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,16.67,20.62,1.42,community,1810,165,638,2,805,20.62,0.28
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,16.56,20.25,1.41,community,1763,162,641,2,805,20.25,0.24
icr_w-reinforce_random,16.02,22.48,1.47,community,2202,181,624,0,805,22.48,0.22
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.68,19.75,1.40,community,1768,158,645,2,805,19.75,0.26
lidr_enesru_llama3_8b_dpo,15.61,18.26,1.36,community,4161,147,658,0,805,18.26,0.27
llama3_8b_max_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.58,19.01,1.38,community,1741,152,651,2,805,19.01,0.24
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,15.21,18.63,1.37,community,1792,149,654,2,805,18.63,0.28
llama3_8b_maxv2_no_norm_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,14.99,19.19,1.39,community,1933,154,650,1,805,19.19,0.21
lidr_enesru_llama3_8b_ppo,14.86,18.14,1.36,community,1895,146,659,0,805,18.14,0.24
llama3_8b_ms01_ma_lacomsa_-1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,14.75,22.05,1.46,community,1980,177,627,1,805,22.05,0.22
lidr_enesru_llama3_8b_w-reinforce,14.48,17.95,1.35,community,2820,144,660,1,805,17.95,0.24
lidr_enesru_llama3_8b_w-reinforce_0.1_1.0,14.48,17.95,1.35,community,2820,144,660,1,805,17.95,0.24
lidr_enesru_llama3_8b_w-reinforce_10.0_1.0,13.57,17.76,1.35,community,2283,143,662,0,805,17.76,0.25
mapo_w-reinforce_random_170526,11.11,16.09,1.29,community,1842,129,675,1,805,16.09,0.17
mapo_w-reinforce_random,3.50,5.47,0.80,community,1987,44,761,0,805,5.47,0.13
lidr_enesru_llama3_8b_sft,0.15,0.50,0.25,community,9971,4,801,0,805,0.50,0.01
icr_enesru_llama3_8b_npo_150426,0.06,0.12,0.12,community,6875,1,804,0,805,0.12,0.00
lidr_enesru_llama3_8b_npo,0.00,0.00,0.00,community,12153,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed44,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
