source,model,method,model_type,win_rate,baseline,improvement
de,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,16.149068322981368,12.86,3.289068322981368
de,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,15.15527950310559,12.86,2.29527950310559
de,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,14.906832298136646,12.86,2.0468322981366462
de,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,15.46583850931677,12.86,2.6058385093167704
de,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,0.7453416149068323,12.86,-12.114658385093167
de,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,12.86,-12.611552795031056
en,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,20.80745341614907,23.8,-2.992546583850931
en,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,19.751552795031056,23.8,-4.048447204968944
en,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,19.440993788819878,23.8,-4.359006211180123
en,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,21.73913043478261,23.8,-2.0608695652173914
en,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,19.937888198757765,23.8,-3.8621118012422357
en,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,21.677018633540374,23.8,-2.1229813664596264
en,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,18.4472049689441,23.8,-5.352795031055901
en,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.1180124223602486,23.8,-22.681987577639752
en,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,23.8,-23.551552795031057
es,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,16.832298136645964,15.33,1.5022981366459636
es,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,16.70807453416149,15.33,1.37807453416149
es,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,15.65217391304348,15.33,0.3221739130434802
es,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,15.714285714285714,15.33,0.38428571428571345
es,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,16.273291925465838,15.33,0.9432919254658376
es,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,14.906832298136646,15.33,-0.4231677018633544
es,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,17.018633540372672,15.33,1.6886335403726722
es,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.8012422360248446,15.33,-13.528757763975156
es,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.5590062111801243,15.33,-14.770993788819876
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,17.577639751552795,16.39,1.187639751552794
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,17.70186335403727,16.39,1.3118633540372677
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,18.13664596273292,16.39,1.74664596273292
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,17.080745341614907,16.39,0.6907453416149067
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,19.440993788819878,16.39,3.050993788819877
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,20.74534161490683,16.39,4.3553416149068305
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,19.81366459627329,16.39,3.423664596273291
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.1801242236024845,16.39,-15.209875776397515
fr,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.6211180124223602,16.39,-15.76888198757764
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,18.944099378881987,14.77,4.174099378881987
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,17.82608695652174,14.77,3.056086956521739
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,17.70186335403727,14.77,2.9318633540372687
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,17.267080745341616,14.77,2.4970807453416164
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,17.70186335403727,14.77,2.9318633540372687
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,18.509316770186334,14.77,3.739316770186335
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,19.81366459627329,14.77,5.043664596273292
ru,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,0.4968944099378882,14.77,-14.273105590062112
ru,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.0,14.77,-14.77
de,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,16.024844720496894,12.86,3.1648447204968946
de,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,14.534161490683232,12.86,1.6741614906832325
de,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,16.273291925465838,12.86,3.4132919254658383
de,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,14.658385093167702,12.86,1.7983850931677026
de,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,14.906832298136646,12.86,2.0468322981366462
de,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,14.96894409937888,12.86,2.1089440993788813
de,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.1055900621118013,12.86,-9.754409937888198
de,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,3.1055900621118013,12.86,-9.754409937888198
de,mapo_enesru_llama3_8b_npo,mapo,npo,2.484472049689441,12.86,-10.375527950310559
en,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,20.80745341614907,23.8,-2.992546583850931
en,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,20.062111801242235,23.8,-3.7378881987577657
en,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,19.006211180124225,23.8,-4.793788819875775
en,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,20.372670807453417,23.8,-3.4273291925465834
en,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,21.366459627329192,23.8,-2.4335403726708087
en,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,22.981366459627328,23.8,-0.818633540372673
en,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,27.45341614906832,23.8,3.6534161490683204
en,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,18.757763975155278,23.8,-5.042236024844723
en,mapo_enesru_llama3_8b_npo,mapo,npo,13.41614906832298,23.8,-10.38385093167702
es,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,16.832298136645964,15.33,1.5022981366459636
es,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,16.211180124223603,15.33,0.8811801242236026
es,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,16.77018633540373,15.33,1.4401863354037285
es,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,16.70807453416149,15.33,1.37807453416149
es,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,15.590062111801242,15.33,0.2600621118012416
es,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,16.52173913043478,15.33,1.1917391304347813
es,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,4.3478260869565215,15.33,-10.982173913043479
es,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,1.8633540372670807,15.33,-13.466645962732919
es,mapo_enesru_llama3_8b_npo,mapo,npo,1.3664596273291925,15.33,-13.963540372670808
fr,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,17.577639751552795,16.39,1.187639751552794
fr,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,17.577639751552795,16.39,1.187639751552794
fr,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,18.571428571428573,16.39,2.1814285714285724
fr,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,17.63975155279503,16.39,1.2497515527950291
fr,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,19.440993788819878,16.39,3.050993788819877
fr,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,18.26086956521739,16.39,1.8708695652173901
fr,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.7267080745341614,16.39,-12.663291925465838
fr,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,2.484472049689441,16.39,-13.90552795031056
fr,mapo_enesru_llama3_8b_npo,mapo,npo,1.8633540372670807,16.39,-14.52664596273292
ru,mapo_enesru_llama3_8b_npo_checkpoint-1,mapo,npo_checkpoint-1,18.944099378881987,14.77,4.174099378881987
ru,mapo_enesru_llama3_8b_npo_checkpoint-2,mapo,npo_checkpoint-2,19.68944099378882,14.77,4.919440993788822
ru,mapo_enesru_llama3_8b_npo_checkpoint-3,mapo,npo_checkpoint-3,18.074534161490682,14.77,3.3045341614906825
ru,mapo_enesru_llama3_8b_npo_checkpoint-4,mapo,npo_checkpoint-4,17.82608695652174,14.77,3.056086956521739
ru,mapo_enesru_llama3_8b_npo_checkpoint-5,mapo,npo_checkpoint-5,18.757763975155278,14.77,3.9877639751552785
ru,mapo_enesru_llama3_8b_npo_checkpoint-10,mapo,npo_checkpoint-10,19.06832298136646,14.77,4.298322981366461
ru,mapo_enesru_llama3_8b_npo_checkpoint-20,mapo,npo_checkpoint-20,3.229813664596273,14.77,-11.540186335403726
ru,mapo_enesru_llama3_8b_npo_checkpoint-30,mapo,npo_checkpoint-30,2.111801242236025,14.77,-12.658198757763975
ru,mapo_enesru_llama3_8b_npo,mapo,npo,1.1180124223602486,14.77,-13.651987577639751
