source,model,method,model_type,win_rate,baseline,improvement
de,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,16.149068322981368,15.28,0.8690683229813683
de,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,15.15527950310559,15.28,-0.12472049689441
de,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,14.906832298136646,15.28,-0.3731677018633537
de,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,15.46583850931677,15.28,0.18583850931677048
de,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,0.7453416149068323,15.28,-14.534658385093167
de,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,15.28,-15.031552795031056
en,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,20.80745341614907,22.61,-1.8025465838509298
en,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,19.751552795031056,22.61,-2.858447204968943
en,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,19.440993788819878,22.61,-3.169006211180122
en,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,21.73913043478261,22.61,-0.8708695652173901
en,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,19.937888198757765,22.61,-2.6721118012422345
en,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,21.677018633540374,22.61,-0.9329813664596251
en,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,18.4472049689441,22.61,-4.1627950310559
en,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.1180124223602486,22.61,-21.49198757763975
en,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.2484472049689441,22.61,-22.361552795031056
es,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,16.832298136645964,16.21,0.6222981366459628
es,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,16.70807453416149,16.21,0.49807453416148917
es,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,15.65217391304348,16.21,-0.5578260869565206
es,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,15.714285714285714,16.21,-0.49571428571428733
es,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,16.273291925465838,16.21,0.06329192546583684
es,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,14.906832298136646,16.21,-1.3031677018633552
es,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,17.018633540372672,16.21,0.8086335403726714
es,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.8012422360248446,16.21,-14.408757763975157
es,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.5590062111801243,16.21,-15.650993788819877
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-1,lacomsa,npo_checkpoint-1,17.577639751552795,18.88,-1.3023602484472043
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-2,lacomsa,npo_checkpoint-2,17.70186335403727,18.88,-1.1781366459627307
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-3,lacomsa,npo_checkpoint-3,18.13664596273292,18.88,-0.7433540372670784
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-4,lacomsa,npo_checkpoint-4,17.080745341614907,18.88,-1.7992546583850917
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-5,lacomsa,npo_checkpoint-5,19.440993788819878,18.88,0.5609937888198786
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-10,lacomsa,npo_checkpoint-10,20.74534161490683,18.88,1.865341614906832
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-20,lacomsa,npo_checkpoint-20,19.81366459627329,18.88,0.9336645962732923
fr,lacomsa_enesru_llama3_8b_npo_checkpoint-30,lacomsa,npo_checkpoint-30,1.1801242236024845,18.88,-17.699875776397516
fr,lacomsa_enesru_llama3_8b_npo,lacomsa,npo,0.6211180124223602,18.88,-18.258881987577638
