source, model                                     , method , model_type       , length_controlled_winrate, baseline, improvement
ru    , icr_enesru_llama3_8b_npo_checkpoint-10    , icr    , npo_checkpoint-10,    14.29818              ,    14.77, -0.47181999999999924
ru    , icr_enesru_llama3_8b_npo_checkpoint-20    , icr    , npo_checkpoint-20,     2.829624             ,    14.77, -11.940376
ru    , icr_enesru_llama3_8b_npo_checkpoint-30    , icr    , npo_checkpoint-30,     0.000241             ,    14.77, -14.769758999999999
ru    , icr_enesru_llama3_8b_npo_150426           , icr    , npo              ,     0.0                  ,    14.77, -14.77
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-1 , lacomsa, npo_checkpoint-1 ,    13.800195297709989    ,    12.86, 0.9401952977099892
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-2 , lacomsa, npo_checkpoint-2 ,    12.454314903336813    ,    12.86, -0.405685096663186
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-3 , lacomsa, npo_checkpoint-3 ,    13.258172045726656    ,    12.86, 0.3981720457266569
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-4 , lacomsa, npo_checkpoint-4 ,    14.154044522876644    ,    12.86, 1.2940445228766446
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-5 , lacomsa, npo_checkpoint-5 ,    12.09426244643636     ,    12.86, -0.765737553563639
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-10, lacomsa, npo_checkpoint-10,    12.762320765821322    ,    12.86, -0.09767923417867763
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-20, lacomsa, npo_checkpoint-20,    13.019633872916877    ,    12.86, 0.1596338729168778
de    , lacomsa_enesru_llama3_8b_npo_checkpoint-30, lacomsa, npo_checkpoint-30,     0.40378832338197085  ,    12.86, -12.456211676618029
de    , lacomsa_enesru_llama3_8b_npo              , lacomsa, npo              ,     0.1126136347072084   ,    12.86, -12.74738636529279
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-1 , lacomsa, npo_checkpoint-1 ,    20.450928899609565    ,    23.8 , -3.349071100390436
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-2 , lacomsa, npo_checkpoint-2 ,    19.246702368469425    ,    23.8 , -4.553297631530576
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-3 , lacomsa, npo_checkpoint-3 ,    19.329179487824838    ,    23.8 , -4.4708205121751625
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-4 , lacomsa, npo_checkpoint-4 ,    22.429648704213697    ,    23.8 , -1.3703512957863033
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-5 , lacomsa, npo_checkpoint-5 ,    19.949514352840946    ,    23.8 , -3.8504856471590543
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-10, lacomsa, npo_checkpoint-10,    22.24941800117641     ,    23.8 , -1.550581998823592
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-20, lacomsa, npo_checkpoint-20,    18.75220502924565     ,    23.8 , -5.0477949707543495
en    , lacomsa_enesru_llama3_8b_npo_checkpoint-30, lacomsa, npo_checkpoint-30,     0.672620161851365    ,    23.8 , -23.127379838148634
en    , lacomsa_enesru_llama3_8b_npo              , lacomsa, npo              ,     0.1276444537025591   ,    23.8 , -23.672355546297442
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-1 , lacomsa, npo_checkpoint-1 ,    15.497133409804286    ,    15.33, 0.16713340980428626
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-2 , lacomsa, npo_checkpoint-2 ,    14.956498717968818    ,    15.33, -0.3735012820311816
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-3 , lacomsa, npo_checkpoint-3 ,    14.119868528570606    ,    15.33, -1.2101314714293938
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-4 , lacomsa, npo_checkpoint-4 ,    14.127562839174965    ,    15.33, -1.2024371608250348
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-5 , lacomsa, npo_checkpoint-5 ,    14.544496843281026    ,    15.33, -0.7855031567189741
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-10, lacomsa, npo_checkpoint-10,    13.577722067461675    ,    15.33, -1.752277932538325
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-20, lacomsa, npo_checkpoint-20,    15.58854051777411     ,    15.33, 0.2585405177741098
es    , lacomsa_enesru_llama3_8b_npo_checkpoint-30, lacomsa, npo_checkpoint-30,     1.1961320310163792   ,    15.33, -14.13386796898362
es    , lacomsa_enesru_llama3_8b_npo              , lacomsa, npo              ,     0.30584405033231077  ,    15.33, -15.024155949667689
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-1 , lacomsa, npo_checkpoint-1 ,    14.369741037020614    ,    16.39, -2.020258962979387
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-2 , lacomsa, npo_checkpoint-2 ,    15.029234258268719    ,    16.39, -1.3607657417312815
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-3 , lacomsa, npo_checkpoint-3 ,    15.48744979629044     ,    16.39, -0.902550203709561
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-4 , lacomsa, npo_checkpoint-4 ,    14.717085789071383    ,    16.39, -1.6729142109286173
fr    , lacomsa_enesru_llama3_8b_npo_checkpoint-5 , lacomsa, npo_checkpoint-5 ,    17.35886084811705     ,    16.39, 0.9688608481170498
