language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
ru,0,11.115608296900236,0.0,11.115608 +- 0.000000,1,0.3401566551044292,0.0,0.340157 +- 0.000000,1
ru,1,13.513205131753772,0.0,13.513205 +- 0.000000,1,0.6811437153630227,0.0,0.681144 +- 0.000000,1
ru,2,15.204638819853109,0.0,15.204639 +- 0.000000,1,0.7090283757458071,0.0,0.709028 +- 0.000000,1
ru,3,15.658562784019216,0.0,15.658563 +- 0.000000,1,0.793892469679202,0.0,0.793892 +- 0.000000,1
ru,4,16.602273533659584,0.0,16.602274 +- 0.000000,1,0.8623047566742801,0.0,0.862305 +- 0.000000,1
ru,5,16.207764747266616,0.0,16.207765 +- 0.000000,1,0.877527965707027,0.0,0.877528 +- 0.000000,1
ru,6,16.065872327573867,0.0,16.065872 +- 0.000000,1,0.9032630219968727,0.0,0.903263 +- 0.000000,1
ru,7,15.298363932696704,0.0,15.298364 +- 0.000000,1,0.9289364662643864,0.0,0.928936 +- 0.000000,1
ru,8,15.723670260144159,0.0,15.723670 +- 0.000000,1,0.9481837930415276,0.0,0.948184 +- 0.000000,1
ru,9,16.56095515091821,0.0,16.560955 +- 0.000000,1,0.9555844988315405,0.0,0.955584 +- 0.000000,1
ru,10,16.93693142238408,0.0,16.936931 +- 0.000000,1,0.9574833758312106,0.0,0.957483 +- 0.000000,1
ru,11,17.423698693059396,0.0,17.423699 +- 0.000000,1,0.9499209032648805,0.0,0.949921 +- 0.000000,1
ru,12,17.695608134869108,0.0,17.695608 +- 0.000000,1,0.9504480845186448,0.0,0.950448 +- 0.000000,1
ru,13,17.677766367263647,0.0,17.677766 +- 0.000000,1,0.9550153140655454,0.0,0.955015 +- 0.000000,1
ru,14,17.65298688305239,0.0,17.652987 +- 0.000000,1,0.9480474685483705,0.0,0.948047 +- 0.000000,1
ru,15,16.926042290774966,0.0,16.926042 +- 0.000000,1,0.9338497101199179,0.0,0.933850 +- 0.000000,1
ru,16,16.308101241281122,0.0,16.308101 +- 0.000000,1,0.916424389183648,0.0,0.916424 +- 0.000000,1
ru,17,15.858181981300163,0.0,15.858182 +- 0.000000,1,0.9103718501170254,0.0,0.910372 +- 0.000000,1
ru,18,15.7315012962614,0.0,15.731501 +- 0.000000,1,0.8997093231588246,0.0,0.899709 +- 0.000000,1
ru,19,15.808370645238396,0.0,15.808371 +- 0.000000,1,0.8985916545598398,0.0,0.898592 +- 0.000000,1
ru,20,15.78221424335364,0.0,15.782214 +- 0.000000,1,0.894575282617617,0.0,0.894575 +- 0.000000,1
ru,21,15.916988163120429,0.0,15.916988 +- 0.000000,1,0.8891405399493331,0.0,0.889141 +- 0.000000,1
ru,22,15.883702953481551,0.0,15.883703 +- 0.000000,1,0.8879232585554941,0.0,0.887923 +- 0.000000,1
ru,23,15.692078341985875,0.0,15.692078 +- 0.000000,1,0.8857587475707035,0.0,0.885759 +- 0.000000,1
ru,24,16.06012175932487,0.0,16.060122 +- 0.000000,1,0.8780088362457271,0.0,0.878009 +- 0.000000,1
ru,25,16.148344728003984,0.0,16.148345 +- 0.000000,1,0.8738658942869215,0.0,0.873866 +- 0.000000,1
ru,26,15.99053992036414,0.0,15.990540 +- 0.000000,1,0.8655119797779334,0.0,0.865512 +- 0.000000,1
ru,27,16.030613247707763,0.0,16.030613 +- 0.000000,1,0.8573245690584669,0.0,0.857325 +- 0.000000,1
ru,28,15.837735662208226,0.0,15.837736 +- 0.000000,1,0.8497325865742925,0.0,0.849733 +- 0.000000,1
ru,29,15.744127388542383,0.0,15.744127 +- 0.000000,1,0.8441110915397787,0.0,0.844111 +- 0.000000,1
ru,30,16.096919367659147,0.0,16.096919 +- 0.000000,1,0.8170655469870421,0.0,0.817066 +- 0.000000,1
ru,31,16.49769742262768,0.0,16.497697 +- 0.000000,1,0.8170047547530807,0.0,0.817005 +- 0.000000,1
