,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
lacomsa_enesru_llama3_8b_npo_checkpoint-20,17.018633540372672,1.3165592528528711,community,1627,134,665,6,805,17.018633540372672,15.58854051777411,0.2742205102416568
lacomsa_enesru_llama3_8b_npo_checkpoint-1,16.832298136645964,1.3180709007126323,community,1644,135,669,1,805,16.832298136645964,15.497133409804286,0.2284325399395211
mapo_enesru_llama3_8b_npo_checkpoint-1,16.832298136645964,1.3180709007126323,community,1644,135,669,1,805,16.832298136645964,15.497133409804286,0.2284325399395211
mapo_enesru_llama3_8b_npo_checkpoint-2,16.211180124223603,1.298300679121844,community,1638,130,674,1,805,16.211180124223603,15.459187301996344,0.2445472425847893
mapo_enesru_llama3_8b_npo_checkpoint-4,16.70807453416149,1.314169861081437,community,1670,134,670,1,805,16.70807453416149,15.196673380675612,0.2346820571816746
icr_enesru_llama3_8b_w-reinforce_10.0_1.0,15.714285714285714,1.2819955904179483,community,1569,126,678,1,805,15.714285714285714,15.143248494719064,0.23998809960937467
mapo_enesru_llama3_8b_npo_checkpoint-3,16.77018633540373,1.3146553866647148,community,1675,134,669,2,805,16.77018633540373,15.080336293353003,0.2222808549724781
lacomsa_enesru_llama3_8b_npo_checkpoint-2,16.70807453416149,1.3141698610814367,community,1689,134,670,1,805,16.70807453416149,14.956498717968818,0.2227142619459538
icr_enesru_llama3_8b_npo_checkpoint-3,16.273291925465838,1.2988216925231948,community,1671,130,673,2,805,16.273291925465838,14.8913024862508,0.1880997408352097
mapo_enesru_llama3_8b_dpo_250426,15.838509316770184,1.2831067436358383,community,1585,126,676,3,805,15.838509316770184,14.777793208531698,0.2619534057293819
icr_enesru_llama3_8b_npo_checkpoint-4,15.714285714285714,1.2819955904179483,community,1664,126,678,1,805,15.714285714285714,14.627124376544405,0.2213448555051951
mapo_enesru_llama3_8b_ppo,10.434782608695652,1.0637332481577493,community,1176,80,717,8,805,10.434782608695652,14.624932120138576,0.266472237473695
lacomsa_enesru_llama3_8b_w-reinforce,16.645962732919255,1.310736860221661,community,1688,133,670,2,805,16.645962732919255,14.571800804848923,0.1896316101619806
lacomsa_enesru_llama3_8b_npo_checkpoint-5,16.273291925465838,1.2988216925231948,community,1631,130,673,2,805,16.273291925465838,14.544496843281026,0.2447403934882783
icr_enesru_llama3_8b_ppo_150426,15.093167701863356,1.2609754322964777,community,1609,121,683,1,805,15.093167701863356,14.480052400425784,0.1909945732013352
lacomsa_enesru_llama3_8b_dpo,16.024844720496894,1.2907427976415242,community,1657,128,675,2,805,16.024844720496894,14.414662489825597,0.2303827364196617
mapo_enesru_llama3_8b_npo_checkpoint-5,15.590062111801242,1.2778492621982984,community,1679,125,679,1,805,15.590062111801242,14.304300322942089,0.2512623170329396
mapo_enesru_llama3_8b_npo_checkpoint-10,16.52173913043478,1.3067918965835803,community,1680,132,671,2,805,16.52173913043478,14.23779995701085,0.1958641380795938
lacomsa_enesru_llama3_8b_npo_checkpoint-4,15.714285714285714,1.2819955904179483,community,1632,126,678,1,805,15.714285714285714,14.127562839174963,0.2342872037587935
lacomsa_enesru_llama3_8b_npo_checkpoint-3,15.65217391304348,1.2784161448927125,community,1633,125,678,2,805,15.65217391304348,14.119868528570606,0.2185310215367653
icr_enesru_llama3_8b_ppo,15.217391304347828,1.2652377425224364,community,1724,122,682,1,805,15.217391304347828,14.093920962127074,0.1965656992148413
icr_enesru_llama3_8b_npo_checkpoint-5,15.093167701863356,1.2609754322964777,community,1672,121,683,1,805,15.093167701863356,13.905008209913657,0.2149641679619765
icr_enesru_llama3_8b_npo_checkpoint-2,15.962732919254655,1.2902036456615986,community,1645,128,676,1,805,15.962732919254655,13.885818426131191,0.1920838885163457
lacomsa_enesru_llama3_8b_ppo,16.08695652173913,1.2942659092147824,community,1900,129,675,1,805,16.08695652173913,13.814740501222328,0.2304192687521579
icr_enesru_llama3_8b_npo_checkpoint-1,15.093167701863356,1.2609754322964777,community,1663,121,683,1,805,15.093167701863356,13.734583288201824,0.164771921156644
lacomsa_enesru_llama3_8b_npo_checkpoint-10,14.906832298136646,1.2529856882586228,community,1630,119,684,2,805,14.906832298136646,13.577722067461677,0.2049068987959886
mapo_enesru_llama3_8b_sft,8.944099378881988,0.9948746038488202,community,1031,69,730,6,805,8.944099378881988,13.43467135957958,0.3040579871334245
lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,15.65217391304348,1.2784161448927125,community,1735,125,678,2,805,15.65217391304348,13.22711586298468,0.2190640381784141
icr_enesru_llama3_8b_sft,14.720496894409935,1.2480088970695928,community,1994,118,686,1,805,14.720496894409935,12.53649152141856,0.2572136507205932
icr_enesru_llama3_8b_sft_150426,13.354037267080743,1.198033123423608,community,2077,107,697,1,805,13.354037267080743,11.462432389376415,0.176654386393427
icr_enesru_llama3_8b_npo_checkpoint-20,11.118012422360248,1.10340623218121,community,3446,88,714,3,805,11.118012422360248,6.35013543216011,0.1049933950082549
mapo_enesru_llama3_8b_npo_checkpoint-20,4.3478260869565215,0.7192096071185938,community,3092,35,770,0,805,4.3478260869565215,1.5787017040151978,0.0488842344563559
lacomsa_enesru_llama3_8b_npo_checkpoint-30,1.8012422360248446,0.4649053826964315,community,2924,14,790,1,805,1.8012422360248446,1.1961320310163792,0.0569126970729185
mapo_enesru_llama3_8b_npo_checkpoint-30,1.8633540372670807,0.4769087277979783,community,4282,15,790,0,805,1.8633540372670807,0.462259268406002,0.0190331399772736
mapo_enesru_llama3_8b_npo,1.3664596273291925,0.4094328543408305,community,4646,11,794,0,805,1.3664596273291925,0.3420504499060994,0.0191721326623147
lacomsa_enesru_llama3_8b_npo,0.5590062111801243,0.2554932384919954,community,4069,4,800,1,805,0.5590062111801243,0.3058440503323107,0.0185318277820771
icr_enesru_llama3_8b_npo,0.0,0.0,community,0,0,805,0,805,0.0,0.0019248421371907,0.0001412094841196
icr_enesru_llama3_8b_npo_checkpoint-30,0.0,0.0,community,9040,0,805,0,805,0.0,0.0001185540740046,8.705324023393668e-06
