language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
de,0,0.6724939942359924,0.013931114745389592,0.672494 +- 0.013931,3,0.3382129967212677,0.01093874025768598,0.338213 +- 0.010939,3
de,1,0.6340763966242472,0.009558843032787215,0.634076 +- 0.009559,3,0.3614886701107025,0.009053904186739237,0.361489 +- 0.009054,3
de,2,0.6835464239120483,0.0074276080259495815,0.683546 +- 0.007428,3,0.3556804656982422,0.007454462690827435,0.355680 +- 0.007454,3
de,3,0.6672007441520691,0.006278686091518647,0.667201 +- 0.006279,3,0.3937287429968516,0.005629735100165294,0.393729 +- 0.005630,3
de,4,0.6713224649429321,0.00619462932931017,0.671322 +- 0.006195,3,0.4217870235443115,0.006249878298473561,0.421787 +- 0.006250,3
de,5,0.6936754981676737,0.006172805102268066,0.693675 +- 0.006173,3,0.4298412501811981,0.005771183689615193,0.429841 +- 0.005771,3
de,6,0.7000377178192139,0.007110370161349975,0.700038 +- 0.007110,3,0.4634321928024292,0.006438200486365081,0.463432 +- 0.006438,3
de,7,0.718602697054545,0.006201076162697933,0.718603 +- 0.006201,3,0.4918975234031677,0.006052924504442411,0.491898 +- 0.006053,3
de,8,0.725147028764089,0.005981889137268927,0.725147 +- 0.005982,3,0.4916253685951233,0.00612033862288803,0.491625 +- 0.006120,3
de,9,0.7369001110394796,0.0057767685466481155,0.736900 +- 0.005777,3,0.48692697286605835,0.005803354933507936,0.486927 +- 0.005803,3
de,10,0.7381000320116679,0.005958585143146662,0.738100 +- 0.005959,3,0.4996143579483032,0.005886802565084479,0.499614 +- 0.005887,3
de,11,0.7367165684700012,0.005929596565593572,0.736717 +- 0.005930,3,0.500063161055247,0.005886764760088887,0.500063 +- 0.005887,3
de,12,0.7545868158340454,0.004526737018568522,0.754587 +- 0.004527,3,0.507074217001597,0.004910440185477807,0.507074 +- 0.004910,3
de,13,0.7526920835177103,0.004875278868367086,0.752692 +- 0.004875,3,0.525658905506134,0.004738838879019317,0.525659 +- 0.004739,3
de,14,0.750847856203715,0.004842625892173326,0.750848 +- 0.004843,3,0.5268704692522684,0.005142717436163847,0.526870 +- 0.005143,3
de,15,0.7603692809740702,0.0041538551312151175,0.760369 +- 0.004154,3,0.5294158260027567,0.005067084605694118,0.529416 +- 0.005067,3
de,16,0.7572072744369507,0.0036015087906560673,0.757207 +- 0.003602,3,0.5300005276997884,0.0039727468481970465,0.530001 +- 0.003973,3
de,17,0.7516758441925049,0.0034797511776408253,0.751676 +- 0.003480,3,0.5160422523816427,0.004360820906389566,0.516042 +- 0.004361,3
de,18,0.7509825627009074,0.0031366019537364676,0.750983 +- 0.003137,3,0.48852566878000897,0.004324058820437381,0.488526 +- 0.004324,3
de,19,0.7369101444880167,0.0032270438287518815,0.736910 +- 0.003227,3,0.4793349305788676,0.0038773541177103362,0.479335 +- 0.003877,3
de,20,0.7233578562736511,0.0034548715699083553,0.723358 +- 0.003455,3,0.45661604404449463,0.004457125451439202,0.456616 +- 0.004457,3
de,21,0.7145694692929586,0.0034300075134271316,0.714569 +- 0.003430,3,0.4341571430365245,0.004379486322965772,0.434157 +- 0.004379,3
de,22,0.707072933514913,0.0034297283562287084,0.707073 +- 0.003430,3,0.40640588601430255,0.004470987688117211,0.406406 +- 0.004471,3
de,23,0.705058733622233,0.003459982613809355,0.705059 +- 0.003460,3,0.3832162618637085,0.004391018617346945,0.383216 +- 0.004391,3
de,24,0.6786459485689799,0.0035167129044352038,0.678646 +- 0.003517,3,0.35114719470342,0.003819052334271181,0.351147 +- 0.003819,3
de,25,0.6681182980537415,0.003991384340640035,0.668118 +- 0.003991,3,0.34529561797777814,0.0036746493216050155,0.345296 +- 0.003675,3
de,26,0.6545493801434835,0.003919346532702222,0.654549 +- 0.003919,3,0.3188424011071523,0.003562274289044044,0.318842 +- 0.003562,3
de,27,0.6344568928082784,0.004480409899283992,0.634457 +- 0.004480,3,0.3070380687713623,0.003588631527487924,0.307038 +- 0.003589,3
de,28,0.6191295782725016,0.00456507214278351,0.619130 +- 0.004565,3,0.29243812958399457,0.0036223945093373723,0.292438 +- 0.003622,3
de,29,0.5880703727404276,0.005682769447530626,0.588070 +- 0.005683,3,0.2938278218110402,0.004049213566914433,0.293828 +- 0.004049,3
de,30,0.5833229025204977,0.005971475523241418,0.583323 +- 0.005971,3,0.2903089026610057,0.004443755457378122,0.290309 +- 0.004444,3
de,31,0.575579305489858,0.0077718810983077365,0.575579 +- 0.007772,3,0.29140226046244305,0.0058296815825898156,0.291402 +- 0.005830,3
