source,model,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40
de,lacomsa_enesru_llama3_8b_w-reinforce_0.1_1.0,17.20497,1.32671,community,1606,137,665,3,805,17.20497,15.85807,0.200179,,,,,,,,,,,,,,,,,,,,,,,,
de,lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,16.21118,1.298301,community,1827,130,674,1,805,16.21118,12.63168,0.152863,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_w-reinforce,20.37267081,1.417731609,community,1657,163,640,2,805,20.37267081,20.1103928,0.3644150063,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_dpo,20.49689441,1.420950027,community,1655,164,639,2,805,20.49689441,20.14236541,0.3780688506,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_ppo,20,1.407950426,community,1907,160,643,2,805,20,19.36581624,0.3675468233,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_sft,18.19875776,1.359312547,community,1875,146,658,1,805,18.19875776,18.0594438,0.3794767007,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_dpo_250426,21.18012,1.436941,community,1630,169,633,3,805,21.18012,21.27557,0.375756,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-1,20.80745,1.427553,community,1640,166,636,3,805,20.80745,20.45093,0.302945,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-3,19.44099,1.39153,community,1678,155,647,3,805,19.44099,19.32918,0.311249,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-2,19.75155,1.398564,community,1666,157,644,4,805,19.75155,19.2467,0.302992,,,,,,,,,,,,,,,,,,,,,,,,
en,lacomsa_enesru_llama3_8b_npo_checkpoint-4,21.73913,1.449353,community,1630,173,628,4,805,21.73913,22.42965,0.303058,,,,,,,,,,,,,,,,,,,,,,,,
