seed,language,layer,id,r
43,en,0,20.408782929643753,1.0177184734821088
43,en,1,18.71064524457599,1.0124016885932452
43,en,2,17.08869848718788,1.0128283460310783
43,en,3,14.903081860069168,1.0488388971805809
43,en,4,15.141696386724762,1.0574211010759063
43,en,5,14.939830642544758,1.0471666740149657
43,en,6,16.212771770644725,1.0435671519624468
43,en,7,16.924597945429113,1.036658549428588
43,en,8,16.858247159501346,1.037712745196862
43,en,9,17.184825952412343,1.0389038352480193
43,en,10,17.156119553880544,1.039810871179474
43,en,11,17.142244884333245,1.0245451170727482
43,en,12,18.042760829463067,1.0254572336458878
43,en,13,17.538867463810835,1.038765704356247
43,en,14,17.230516758527212,1.0344611812877342
43,en,15,16.894147081074784,1.0734349235551683
43,en,16,16.827031666763347,1.066676881078622
43,en,17,15.861622514294096,1.072416168830702
43,en,18,14.981945152496476,1.0725000350193719
43,en,19,14.835787199829674,1.0711222228534747
43,en,20,14.734610998451412,1.072851035412238
43,en,21,14.156427054372513,1.0649708944456653
43,en,22,14.225588658072171,1.06913130835121
43,en,23,14.228680459745158,1.0677431876624666
43,en,24,14.72571287416614,1.0708422743676418
43,en,25,15.073638228952523,1.0695651272811282
43,en,26,15.579180446850849,1.0622907717842913
43,en,27,16.248927403051713,1.0612988951616316
43,en,28,16.280863227832686,1.0632969357662552
43,en,29,15.88555419512624,1.060561695305193
43,en,30,15.948300360399264,1.0689725016178333
43,en,31,13.848303194364556,1.0526859547291159
