,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
icr_enesru_llama3_8b_ppo_150426,15.962732919254655,1.2902036456615986,community,1696,128,676,1,805,15.962732919254655,14.32158512694539,0.2438663810826748
lacomsa_enesru_llama3_8b_dpo_250426,16.335403726708076,1.30230821092263,community,1694,131,673,1,805,16.335403726708076,14.16905112675582,0.2236744837603574
lacomsa_enesru_llama3_8b_npo_checkpoint-4,16.149068322981368,1.2947959579518111,community,1799,129,674,2,805,16.149068322981368,14.154044522876644,0.1909796844759126
icr_enesru_llama3_8b_npo_checkpoint-10,16.211180124223603,1.298300679121844,community,1748,130,674,1,805,16.211180124223603,14.033439532871924,0.2261048926671974
mapo_enesru_llama3_8b_npo_checkpoint-1,16.024844720496894,1.2907427976415242,community,1746,128,675,2,805,16.024844720496894,13.800195297709989,0.195909927444122
lacomsa_enesru_llama3_8b_npo_checkpoint-1,16.024844720496894,1.2907427976415242,community,1746,128,675,2,805,16.024844720496894,13.800195297709989,0.195909927444122
mapo_enesru_llama3_8b_npo_checkpoint-3,16.273291925465838,1.2988216925231948,community,1712,130,673,2,805,16.273291925465838,13.75668600765668,0.2160474791528508
lacomsa_enesru_llama3_8b_ppo,15.77639751552795,1.2855613371106336,community,2047,127,678,0,805,15.77639751552795,13.571996031266668,0.2236279985645203
icr_enesru_llama3_8b_ppo,15.527950310559005,1.2772783712147573,community,1772,125,680,0,805,15.527950310559005,13.42985494122103,0.2030776908369259
lacomsa_enesru_llama3_8b_npo_checkpoint-3,15.403726708074531,1.2700563577939612,community,1703,123,680,2,805,15.403726708074531,13.258172045726656,0.1628075519843207
mapo_enesru_llama3_8b_npo_checkpoint-5,14.906832298136646,1.2529856882586228,community,1715,119,684,2,805,14.906832298136646,13.171414411266031,0.195405444357536
mapo_enesru_llama3_8b_npo_checkpoint-4,14.658385093167702,1.2442699890049944,community,1728,117,686,2,805,14.658385093167702,13.022265986259224,0.1845012730456803
lacomsa_enesru_llama3_8b_npo_checkpoint-20,15.46583850931677,1.2706380463030298,community,1683,123,679,3,805,15.46583850931677,13.019633872916875,0.1985999227779755
icr_enesru_llama3_8b_sft,15.403726708074531,1.2730940658042815,community,2126,124,681,0,805,15.403726708074531,12.947406651569116,0.2238413248378767
lacomsa_enesru_llama3_8b_npo_checkpoint-10,14.906832298136646,1.2529856882586228,community,1737,119,684,2,805,14.906832298136646,12.762320765821322,0.2000800219811146
icr_enesru_llama3_8b_npo_checkpoint-2,14.534161490683232,1.2398659446007243,community,1709,116,687,2,805,14.534161490683232,12.678291175390802,0.1571581876619493
icr_enesru_llama3_8b_npo_checkpoint-1,15.031055900621118,1.2572979835605944,community,1688,120,683,2,805,15.031055900621118,12.464027078376644,0.1569885731278162
lacomsa_enesru_llama3_8b_npo_checkpoint-2,15.031055900621118,1.2572979835605944,community,1731,120,683,2,805,15.031055900621118,12.454314903336812,0.187201281773782
icr_enesru_llama3_8b_npo_checkpoint-4,15.031055900621118,1.2572979835605944,community,1727,120,683,2,805,15.031055900621118,12.2210046615454,0.1933992790763704
mapo_enesru_llama3_8b_npo_checkpoint-2,14.534161490683232,1.2398659446007243,community,1698,116,687,2,805,14.534161490683232,12.217804747949316,0.1514170006044244
lacomsa_enesru_llama3_8b_npo_checkpoint-5,15.15527950310559,1.261580325276883,community,1717,121,682,2,805,15.15527950310559,12.09426244643636,0.182066261210315
icr_enesru_llama3_8b_npo_checkpoint-3,14.782608695652174,1.2486431290292348,community,1731,118,685,2,805,14.782608695652174,12.01790748401665,0.159686983468177
icr_enesru_llama3_8b_sft_150426,13.91304347826087,1.220539176691369,community,1992,112,693,0,805,13.91304347826087,11.655551184221167,0.1912004808975278
mapo_enesru_llama3_8b_sft,7.329192546583851,0.9149062774155092,community,992,58,745,2,805,7.329192546583851,10.62279979484825,0.2356831996103514
icr_enesru_llama3_8b_npo_checkpoint-20,6.832298136645963,0.8854393853420298,community,4166,54,749,2,805,6.832298136645963,4.290360442314072,0.1330054990685961
mapo_enesru_llama3_8b_npo,2.484472049689441,0.5489413189456964,community,4591,20,785,0,805,2.484472049689441,0.6499020230382654,0.0352322726090074
lacomsa_enesru_llama3_8b_npo_checkpoint-30,0.7453416149068323,0.30333680640357275,community,3786,6,799,0,805,0.7453416149068323,0.40378832338197085,0.020907635241586862
lacomsa_enesru_llama3_8b_npo,0.2484472049689441,0.1755694164825604,community,5241,2,803,0,805,0.2484472049689441,0.1126136347072084,0.0067778633775568
icr_enesru_llama3_8b_npo,0.0,0.0,community,0,0,805,0,805,0.0,0.0019797369149455,0.0001452265485917
icr_enesru_llama3_8b_npo_checkpoint-30,0.0,0.0,community,8647,0,805,0,805,0.0,0.0001235791585385,9.072559833658812e-06
