seed,language,layer,id,r
42,ru,0,21.705075741737513,0.9328238168558453
42,ru,1,19.218445032828008,1.0010489159247542
42,ru,2,18.069895043212576,1.0228657182425451
42,ru,3,15.308393252080553,1.0470098867894524
42,ru,4,14.865971526917379,1.0603711453408364
42,ru,5,13.99294403247189,1.0528038223391145
42,ru,6,14.91431907513892,1.0533094210539207
42,ru,7,15.736333752823228,1.0477566683581665
42,ru,8,15.550532015500275,1.048558932040956
42,ru,9,16.0674164523043,1.0496026073917548
42,ru,10,16.42044720479834,1.0448889839187845
42,ru,11,16.055818173617492,1.0339254054342748
42,ru,12,17.010613097431523,1.0410594808509912
42,ru,13,15.651098781716122,1.041927353802264
42,ru,14,15.754028179898365,1.0350668078536092
42,ru,15,15.017902969451358,1.0623211150856038
42,ru,16,15.361979205734931,1.0511630574443556
42,ru,17,14.736466779705703,1.0567689605663702
42,ru,18,13.965784862578793,1.053101445813217
42,ru,19,14.446938385082357,1.0528063861746502
42,ru,20,14.250653307682503,1.0448774908237592
42,ru,21,14.007406666948517,1.0349991706086854
42,ru,22,13.829492975940903,1.0229332888735014
42,ru,23,13.73524703549679,1.0170545698852316
42,ru,24,14.162756537258005,0.9982886845598682
42,ru,25,14.056364352436681,0.9964032464640389
42,ru,26,14.148808594806852,0.9799879478519684
42,ru,27,14.770865892242718,0.9394336945723247
42,ru,28,14.576798431463299,0.93919148242214
42,ru,29,14.685394520330545,0.9393699228657851
42,ru,30,14.386293215461231,0.9293680954767355
42,ru,31,16.133512335777443,0.9915159020924239
