,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
icr_enesru_llama3_8b_dpo_150426,21.53,21.24,1.44,community,1667,170,633,2,805,21.24,0.34
llama3_8b_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,21.51,24.72,1.52,community,1865,198,605,2,805,24.72,0.26
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,21.51,22.61,1.47,community,1770,181,622,2,805,22.61,0.26
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,21.50,23.60,1.49,community,1754,189,614,2,805,23.60,0.26
llama3_8b_maxv2_no_norm_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,21.44,23.60,1.49,community,1826,189,614,2,805,23.60,0.32
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,21.37,23.23,1.49,community,1823,186,617,2,805,23.23,0.23
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,21.34,22.98,1.48,community,1799,184,619,2,805,22.98,0.27
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,21.27,20.99,1.43,community,2061,168,635,2,805,20.99,0.32
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,21.26,24.60,1.52,community,1858,197,606,2,805,24.60,0.26
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,21.18,23.98,1.50,community,1859,192,611,2,805,23.98,0.29
llama3_8b_ma_lacomsa_top5_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,21.04,22.61,1.47,community,1823,181,622,2,805,22.61,0.26
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.96,24.47,1.51,community,1832,196,607,2,805,24.47,0.31
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,20.95,21.37,1.44,community,1704,171,632,2,805,21.37,0.29
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,20.92,23.11,1.48,community,1778,185,618,2,805,23.11,0.33
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,20.91,24.22,1.51,community,1845,194,609,2,805,24.22,0.33
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.89,22.98,1.48,community,1803,184,619,2,805,22.98,0.25
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,20.81,20.87,1.43,community,1698,167,636,2,805,20.87,0.27
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,20.73,24.35,1.51,community,1843,195,608,2,805,24.35,0.25
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,20.70,23.23,1.49,community,1847,186,617,2,805,23.23,0.25
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,20.64,20.31,1.41,community,1632,162,640,3,805,20.31,0.29
llama3_8b_lacomsa_high_lang_easy_lc_seed43,20.50,20.25,1.41,community,1624,162,641,2,805,20.25,0.30
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,20.43,20.50,1.42,community,1639,164,639,2,805,20.50,0.27
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,20.42,21.99,1.46,community,1771,176,627,2,805,21.99,0.30
