model,language,layer,mean,std,mean_pm_std,n
base-sft-dpo,fr,4,0.1543064602006421,0.0207436945555475,0.154306 +- 0.020744,3
base-sft-dpo,fr,5,0.18839185145513615,0.02239156393299955,0.188392 +- 0.022392,3
base-sft-dpo,fr,6,0.20762511956837645,0.020980925625046457,0.207625 +- 0.020981,3
base-sft-dpo,fr,7,0.23217083863477264,0.0202706703502209,0.232171 +- 0.020271,3
base-sft-dpo,fr,8,0.2543620361642306,0.020839942687653053,0.254362 +- 0.020840,3
base-sft-dpo,fr,9,0.25206094416361213,0.020413640024201277,0.252061 +- 0.020414,3
base-sft-dpo,fr,10,0.24642701461003283,0.019013645095039132,0.246427 +- 0.019014,3
base-sft-dpo,fr,11,0.2274319211153671,0.019092036139703655,0.227432 +- 0.019092,3
base-sft-dpo,fr,12,0.22694646430821303,0.01848023685230448,0.226946 +- 0.018480,3
base-sft-dpo,fr,13,0.2717506935442765,0.02172672075841232,0.271751 +- 0.021727,3
base-sft-dpo,fr,14,0.27863672550499313,0.02109400830460809,0.278637 +- 0.021094,3
base-sft-dpo,fr,15,0.3391254679246169,0.02290805512977875,0.339125 +- 0.022908,3
base-sft-dpo,fr,16,0.33501670877858286,0.02259113254366005,0.335017 +- 0.022591,3
base-sft-dpo,fr,17,0.3394500448824634,0.022643801305772576,0.339450 +- 0.022644,3
base-sft-dpo,fr,18,0.32894084054317907,0.02216622609535635,0.328941 +- 0.022166,3
base-sft-dpo,fr,19,0.31440988226736094,0.021126515654106424,0.314410 +- 0.021127,3
base-sft-dpo,fr,20,0.30205864822390066,0.020589745654275893,0.302059 +- 0.020590,3
base-sft-dpo,fr,21,0.30371216007755664,0.02052731181446885,0.303712 +- 0.020527,3
base-sft-dpo,fr,22,0.3030619945967267,0.021661915352888885,0.303062 +- 0.021662,3
base-sft-dpo,fr,23,0.285362692502771,0.021058993365252954,0.285363 +- 0.021059,3
base-sft-dpo,fr,24,0.23971499461713625,0.019627064556402993,0.239715 +- 0.019627,3
base-sft-dpo,fr,25,0.2253991222512547,0.019271188887334565,0.225399 +- 0.019271,3
base-sft-dpo,fr,26,0.14728483320139868,0.016788092812723792,0.147285 +- 0.016788,3
base-sft-dpo,fr,27,0.12630083190645874,0.015397911835215581,0.126301 +- 0.015398,3
base-sft-dpo,fr,28,0.11254572714765611,0.015542211030760665,0.112546 +- 0.015542,3
base-sft-dpo,fr,29,0.11330429969341334,0.01488758166430677,0.113304 +- 0.014888,3
base-sft-dpo,fr,30,0.11934711574126337,0.01425267261935681,0.119347 +- 0.014253,3
base-sft-dpo,fr,31,0.1895787082010973,0.009876532551659685,0.189579 +- 0.009877,3
base-sft-dpo,ru,0,-0.0443404188928378,0.012317663872967174,-0.044340 +- 0.012318,3
base-sft-dpo,ru,1,-0.15796950622890274,0.02323940310203027,-0.157970 +- 0.023239,3
base-sft-dpo,ru,2,-0.09011695180295963,0.02504325682126448,-0.090117 +- 0.025043,3
base-sft-dpo,ru,3,0.07481751534534148,0.028278573671306262,0.074818 +- 0.028279,3
base-sft-dpo,ru,4,0.14785374961138684,0.03170297703633253,0.147854 +- 0.031703,3
base-sft-dpo,ru,5,0.17448899729026618,0.032532800279168037,0.174489 +- 0.032533,3
base-sft-dpo,ru,6,0.19706137852682915,0.028160044014641828,0.197061 +- 0.028160,3
base-sft-dpo,ru,7,0.21593572671558878,0.024623124099098368,0.215936 +- 0.024623,3
base-sft-dpo,ru,8,0.2331291323161088,0.024678140562156278,0.233129 +- 0.024678,3
base-sft-dpo,ru,9,0.22455015507347167,0.023842958112335142,0.224550 +- 0.023843,3
base-sft-dpo,ru,10,0.2181414639869458,0.021652007639018256,0.218141 +- 0.021652,3
base-sft-dpo,ru,11,0.19833498956874276,0.021269734810698403,0.198335 +- 0.021270,3
base-sft-dpo,ru,12,0.19533383503574556,0.018716133236313055,0.195334 +- 0.018716,3
base-sft-dpo,ru,13,0.23950722352116308,0.019835121618871864,0.239507 +- 0.019835,3
base-sft-dpo,ru,14,0.24126035995354947,0.01963268335779027,0.241260 +- 0.019633,3
base-sft-dpo,ru,15,0.30083277170181066,0.0213302497939153,0.300833 +- 0.021330,3
base-sft-dpo,ru,16,0.2945237094313061,0.021530492458615515,0.294524 +- 0.021530,3
base-sft-dpo,ru,17,0.30360857533950075,0.021743858623362172,0.303609 +- 0.021744,3
base-sft-dpo,ru,18,0.29622266821438403,0.0215476363224864,0.296223 +- 0.021548,3
base-sft-dpo,ru,19,0.2899263338114201,0.021105949091656556,0.289926 +- 0.021106,3
base-sft-dpo,ru,20,0.27770894914642824,0.02035853594993529,0.277709 +- 0.020359,3
base-sft-dpo,ru,21,0.28782899717062327,0.02156374987611236,0.287829 +- 0.021564,3
base-sft-dpo,ru,22,0.2730888558672636,0.022013776715361314,0.273089 +- 0.022014,3
base-sft-dpo,ru,23,0.2670178303882341,0.021525265396204175,0.267018 +- 0.021525,3
base-sft-dpo,ru,24,0.22997497621277838,0.01917288875925888,0.229975 +- 0.019173,3
base-sft-dpo,ru,25,0.2246964122124217,0.01888780735590204,0.224696 +- 0.018888,3
base-sft-dpo,ru,26,0.18174213856948704,0.015540988603224193,0.181742 +- 0.015541,3
base-sft-dpo,ru,27,0.12205457477287966,0.011111097112565506,0.122055 +- 0.011111,3
base-sft-dpo,ru,28,0.11000340045962434,0.010688089169945045,0.110003 +- 0.010688,3
base-sft-dpo,ru,29,0.11262529517387475,0.010866313921877814,0.112625 +- 0.010866,3
base-sft-dpo,ru,30,0.08932500477728127,0.010333862409116398,0.089325 +- 0.010334,3
base-sft-dpo,ru,31,0.1797651574505387,0.01681598514063435,0.179765 +- 0.016816,3
icr_dpo_ckpt36,de,0,-0.03084761304608812,0.00870808912726314,-0.030848 +- 0.008708,3
icr_dpo_ckpt36,de,1,-0.170370343357921,0.016784420073567476,-0.170370 +- 0.016784,3
icr_dpo_ckpt36,de,2,-0.08906359336679871,0.02086110060270644,-0.089064 +- 0.020861,3
icr_dpo_ckpt36,de,3,0.06804442258039557,0.02035959407307563,0.068044 +- 0.020360,3
icr_dpo_ckpt36,de,4,0.1460035774297376,0.020605269178564107,0.146004 +- 0.020605,3
icr_dpo_ckpt36,de,5,0.17428694553490817,0.0199349498665216,0.174287 +- 0.019935,3
icr_dpo_ckpt36,de,6,0.195627260327624,0.017783501453425502,0.195627 +- 0.017784,3
icr_dpo_ckpt36,de,7,0.2178048374967547,0.01639038327109263,0.217805 +- 0.016390,3
icr_dpo_ckpt36,de,8,0.24110381059143352,0.01662990196947644,0.241104 +- 0.016630,3
icr_dpo_ckpt36,de,9,0.23813036658272324,0.015992897667385573,0.238130 +- 0.015993,3
icr_dpo_ckpt36,de,10,0.23115263396448177,0.014592009665357933,0.231153 +- 0.014592,3
icr_dpo_ckpt36,de,11,0.21421940030041026,0.015114480499028922,0.214219 +- 0.015114,3
icr_dpo_ckpt36,de,12,0.21230946460385294,0.014401034399491024,0.212309 +- 0.014401,3
icr_dpo_ckpt36,de,13,0.2563304763806791,0.015936926078362987,0.256330 +- 0.015937,3
icr_dpo_ckpt36,de,14,0.256549050596779,0.015615787950150997,0.256549 +- 0.015616,3
icr_dpo_ckpt36,de,15,0.314751076323864,0.015568760740538132,0.314751 +- 0.015569,3
icr_dpo_ckpt36,de,16,0.3121568688167595,0.014499621922374037,0.312157 +- 0.014500,3
icr_dpo_ckpt36,de,17,0.3199729406605955,0.014496596801038705,0.319973 +- 0.014497,3
icr_dpo_ckpt36,de,18,0.3000513382588438,0.014096569240710252,0.300051 +- 0.014097,3
icr_dpo_ckpt36,de,19,0.296162689789865,0.014220663206881706,0.296163 +- 0.014221,3
icr_dpo_ckpt36,de,20,0.2799500845841889,0.013663148830533094,0.279950 +- 0.013663,3
icr_dpo_ckpt36,de,21,0.2845143365029367,0.013738814543299728,0.284514 +- 0.013739,3
icr_dpo_ckpt36,de,22,0.2787923834927282,0.015315903054368137,0.278792 +- 0.015316,3
icr_dpo_ckpt36,de,23,0.2458049872221071,0.015810565137188315,0.245805 +- 0.015811,3
icr_dpo_ckpt36,de,24,0.20827513282472226,0.014603195691271382,0.208275 +- 0.014603,3
icr_dpo_ckpt36,de,25,0.18250123280652236,0.014359508200853972,0.182501 +- 0.014360,3
icr_dpo_ckpt36,de,26,0.13575184802916085,0.013636194199067374,0.135752 +- 0.013636,3
icr_dpo_ckpt36,de,27,0.11016067900848725,0.011190083256745567,0.110161 +- 0.011190,3
icr_dpo_ckpt36,de,28,0.08508212372646452,0.012739149842713992,0.085082 +- 0.012739,3
icr_dpo_ckpt36,de,29,0.08537661712561978,0.012115252265116753,0.085377 +- 0.012115,3
icr_dpo_ckpt36,de,30,0.09342496055531353,0.008481217987529446,0.093425 +- 0.008481,3
icr_dpo_ckpt36,de,31,0.1755127796689223,0.0066801071901877035,0.175513 +- 0.006680,3
icr_dpo_ckpt36,es,0,-0.017210065494512226,0.011069736005436507,-0.017210 +- 0.011070,3
icr_dpo_ckpt36,es,1,-0.15456155427158705,0.019694551550622413,-0.154562 +- 0.019695,3
icr_dpo_ckpt36,es,2,-0.07368977449199168,0.02374708613394819,-0.073690 +- 0.023747,3
icr_dpo_ckpt36,es,3,0.09827069814836008,0.02822275170512346,0.098271 +- 0.028223,3
icr_dpo_ckpt36,es,4,0.16961209520984255,0.03129301537087295,0.169612 +- 0.031293,3
icr_dpo_ckpt36,es,5,0.20276883007656993,0.03324245747874208,0.202769 +- 0.033242,3
icr_dpo_ckpt36,es,6,0.22104705655303336,0.030781159793904014,0.221047 +- 0.030781,3
icr_dpo_ckpt36,es,7,0.2454810090876942,0.029430590527709615,0.245481 +- 0.029431,3
icr_dpo_ckpt36,es,8,0.266317365152942,0.028729275909342267,0.266317 +- 0.028729,3
icr_dpo_ckpt36,es,9,0.2643215693812625,0.026735347228835863,0.264322 +- 0.026735,3
icr_dpo_ckpt36,es,10,0.2577460640949425,0.024963490837686408,0.257746 +- 0.024963,3
icr_dpo_ckpt36,es,11,0.23912300585171442,0.02536628300538775,0.239123 +- 0.025366,3
icr_dpo_ckpt36,es,12,0.2395197584570795,0.023696834610294957,0.239520 +- 0.023697,3
icr_dpo_ckpt36,es,13,0.2836238007854546,0.02526572237764203,0.283624 +- 0.025266,3
icr_dpo_ckpt36,es,14,0.2904950698863406,0.025712971577561056,0.290495 +- 0.025713,3
icr_dpo_ckpt36,es,15,0.35088932871676143,0.02621817333476001,0.350889 +- 0.026218,3
icr_dpo_ckpt36,es,16,0.34915603222188624,0.025820248090498262,0.349156 +- 0.025820,3
icr_dpo_ckpt36,es,17,0.35898764111775056,0.025792409709179964,0.358988 +- 0.025792,3
icr_dpo_ckpt36,es,18,0.3473250586339542,0.02469376828705712,0.347325 +- 0.024694,3
icr_dpo_ckpt36,es,19,0.33704231730673584,0.024029656848384102,0.337042 +- 0.024030,3
icr_dpo_ckpt36,es,20,0.321789784486094,0.02328007024150972,0.321790 +- 0.023280,3
icr_dpo_ckpt36,es,21,0.33444360899658937,0.023018599138870725,0.334444 +- 0.023019,3
icr_dpo_ckpt36,es,22,0.3328522079622056,0.023276476810058743,0.332852 +- 0.023276,3
icr_dpo_ckpt36,es,23,0.3184839206421524,0.02224028818846707,0.318484 +- 0.022240,3
icr_dpo_ckpt36,es,24,0.26259796950454506,0.01919254008037201,0.262598 +- 0.019193,3
icr_dpo_ckpt36,es,25,0.23972105857980477,0.018287055652135894,0.239721 +- 0.018287,3
icr_dpo_ckpt36,es,26,0.1669506553330091,0.01573173002693481,0.166951 +- 0.015732,3
icr_dpo_ckpt36,es,27,0.12855607125346474,0.012890876231413521,0.128556 +- 0.012891,3
icr_dpo_ckpt36,es,28,0.10335032606203089,0.011085063398092884,0.103350 +- 0.011085,3
icr_dpo_ckpt36,es,29,0.09872504341723284,0.011509636083030485,0.098725 +- 0.011510,3
icr_dpo_ckpt36,es,30,0.09649890448698104,0.011052619676745212,0.096499 +- 0.011053,3
icr_dpo_ckpt36,es,31,0.19888695658608976,0.011357333614387252,0.198887 +- 0.011357,3
icr_dpo_ckpt36,fr,0,-0.01923905337963923,0.007871930588795433,-0.019239 +- 0.007872,3
icr_dpo_ckpt36,fr,1,-0.1590211228756268,0.014322617280513669,-0.159021 +- 0.014323,3
icr_dpo_ckpt36,fr,2,-0.08261103521053305,0.015844684718602314,-0.082611 +- 0.015845,3
icr_dpo_ckpt36,fr,3,0.08015184056814381,0.019431414081156933,0.080152 +- 0.019431,3
icr_dpo_ckpt36,fr,4,0.15399082861376368,0.020787184788826026,0.153991 +- 0.020787,3
icr_dpo_ckpt36,fr,5,0.18773974535827123,0.022418134397234734,0.187740 +- 0.022418,3
icr_dpo_ckpt36,fr,6,0.20678092234684814,0.020992565067816667,0.206781 +- 0.020993,3
icr_dpo_ckpt36,fr,7,0.23154699163226575,0.02028205385932563,0.231547 +- 0.020282,3
icr_dpo_ckpt36,fr,8,0.2534824303020635,0.02089885782046862,0.253482 +- 0.020899,3
icr_dpo_ckpt36,fr,9,0.25132451532266825,0.020466816439849562,0.251325 +- 0.020467,3
icr_dpo_ckpt36,fr,10,0.2457018100654599,0.019062648785059855,0.245702 +- 0.019063,3
icr_dpo_ckpt36,fr,11,0.22698117931385603,0.019156530962594412,0.226981 +- 0.019157,3
icr_dpo_ckpt36,fr,12,0.22675256792776785,0.01852590950720808,0.226753 +- 0.018526,3
icr_dpo_ckpt36,fr,13,0.2714895512760904,0.021750435879955517,0.271490 +- 0.021750,3
icr_dpo_ckpt36,fr,14,0.27819234632058637,0.02112545971438369,0.278192 +- 0.021125,3
icr_dpo_ckpt36,fr,15,0.33961939026474397,0.022966949365135582,0.339619 +- 0.022967,3
icr_dpo_ckpt36,fr,16,0.33548213890740514,0.02269972249876556,0.335482 +- 0.022700,3
