layer,cosine_sim,cosine_sim_adjusted
0,0.7095401883125305,0.37342962622642517
1,0.6697936654090881,0.38823938369750977
2,0.7076331377029419,0.3714173436164856
3,0.6981108784675598,0.41590115427970886
4,0.7071253657341003,0.4489792585372925
5,0.7251860499382019,0.45307520031929016
6,0.7329558730125427,0.4880855679512024
7,0.749474287033081,0.5170843005180359
8,0.7554240226745605,0.5193074941635132
9,0.7674298882484436,0.516639769077301
10,0.7699227333068848,0.5310007929801941
11,0.7670478224754333,0.5320630669593811
12,0.7827050089836121,0.5359586477279663
13,0.7777579426765442,0.5522667765617371
14,0.7735949158668518,0.5496641397476196
15,0.7763647437095642,0.5452923774719238
16,0.7699694633483887,0.5429239273071289
17,0.7622784376144409,0.5259196162223816
18,0.7618517875671387,0.49609634280204773
19,0.748214602470398,0.4879772961139679
20,0.7301041483879089,0.46277862787246704
21,0.7218190431594849,0.43909499049186707
22,0.7199852466583252,0.4130832552909851
23,0.7195091843605042,0.38813263177871704
24,0.6999086737632751,0.35844138264656067
25,0.6868178248405457,0.3532275855541229
26,0.669137716293335,0.3237380385398865
27,0.6501646637916565,0.31291037797927856
28,0.6372243165969849,0.30105555057525635
29,0.6096283197402954,0.30026599764823914
30,0.5949362516403198,0.29450345039367676
31,0.5875672698020935,0.2934231758117676
