seed,language,layer,id,r
46,fr,0,25.934714414077,1.0272283430642537
46,fr,1,28.646685338662813,1.0746758261162852
46,fr,2,23.0880752881372,1.073015671529671
46,fr,3,18.720051266475057,1.0817121190312358
46,fr,4,17.53654246607183,1.088182448490107
46,fr,5,16.225213749405693,1.082764229889613
46,fr,6,16.917595464795863,1.0775855169593187
46,fr,7,16.123976782146997,1.0670974758972787
46,fr,8,17.4122152617475,1.0704843463150366
46,fr,9,17.055636657444783,1.07643773173859
46,fr,10,17.68867942550212,1.0710776354423934
46,fr,11,16.424308608007816,1.0511352807528538
46,fr,12,17.759291514944938,1.0434163823731148
46,fr,13,17.46386558281134,1.0509186335343645
46,fr,14,17.545091574312924,1.049077889280127
46,fr,15,18.385497827690596,1.0872633519439068
46,fr,16,19.24858459484229,1.0776537981950496
46,fr,17,20.12667903724757,1.091974792490266
46,fr,18,19.463207968394087,1.0898791131393648
46,fr,19,19.22778000820681,1.0877721036687193
46,fr,20,18.99900344123127,1.0824982980509263
46,fr,21,17.763924140132602,1.071575083455887
46,fr,22,17.978438093771473,1.0726703133037225
46,fr,23,18.03045948686514,1.0687842379508345
46,fr,24,17.83620027163372,1.0590927281571363
46,fr,25,17.9082593299144,1.0538286557282424
46,fr,26,17.827277549096564,1.0418513905486388
46,fr,27,18.519433946617305,1.0354502824256822
46,fr,28,18.465970510745166,1.02996561450661
46,fr,29,17.975090238445887,1.023864738774716
46,fr,30,18.081658869700107,1.021526255132647
46,fr,31,15.990612797809234,1.0354167867732962
