,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.72,21.99,1.46,community,1819,176,627,2,805,21.99,0.32
llama3_8b_minv2_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.66,20.62,1.42,community,1737,165,638,2,805,20.62,0.29
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.56,22.05,1.46,community,1813,176,626,3,805,22.05,0.26
llama3_8b_ms01_ma_lacomsa_top5_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.55,20.50,1.42,community,1757,164,639,2,805,20.50,0.23
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.55,21.24,1.44,community,1806,170,633,2,805,21.24,0.20
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.47,21.74,1.45,community,1844,174,629,2,805,21.74,0.29
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.42,18.26,1.36,community,1661,146,657,2,805,18.26,0.30
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.34,21.61,1.45,community,1873,173,630,2,805,21.61,0.24
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.32,19.01,1.38,community,1658,152,651,2,805,19.01,0.21
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.29,17.08,1.32,community,1568,136,666,3,805,17.08,0.30
