language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
es,0,0.7059352397918701,0.011553879414492176,0.705935 +- 0.011554,3,0.36801300446192425,0.008870944963976128,0.368013 +- 0.008871,3
es,1,0.6714897553126017,0.012634884113581808,0.671490 +- 0.012635,3,0.3869645098845164,0.013580197957636549,0.386965 +- 0.013580,3
es,2,0.7065504988034567,0.01172412469308771,0.706550 +- 0.011724,3,0.36853596568107605,0.013501614518036432,0.368536 +- 0.013502,3
es,3,0.6970940232276917,0.010021019079952995,0.697094 +- 0.010021,3,0.4129292964935303,0.011113054413351663,0.412929 +- 0.011113,3
es,4,0.7066028714179993,0.008081044202693196,0.706603 +- 0.008081,3,0.44632819294929504,0.01016365378612274,0.446328 +- 0.010164,3
es,5,0.7250487605730692,0.00798628122497579,0.725049 +- 0.007986,3,0.4501957098642985,0.010007118317412142,0.450196 +- 0.010007,3
es,6,0.7331813176472982,0.007849252688891776,0.733181 +- 0.007849,3,0.4856381913026174,0.009322987551980926,0.485638 +- 0.009323,3
es,7,0.7495284676551819,0.00620777763069369,0.749528 +- 0.006208,3,0.5144821604092916,0.008094774379696938,0.514482 +- 0.008095,3
es,8,0.7559784054756165,0.005694501266515458,0.755978 +- 0.005695,3,0.5162104964256287,0.00785219830798229,0.516210 +- 0.007852,3
es,9,0.767987589041392,0.00622113986923218,0.767988 +- 0.006221,3,0.5117742617925009,0.008621712319698464,0.511774 +- 0.008622,3
es,10,0.7703361511230469,0.006250571211955808,0.770336 +- 0.006251,3,0.5257212122281393,0.008442187495981164,0.525721 +- 0.008442,3
es,11,0.7679931918780009,0.006304220334916881,0.767993 +- 0.006304,3,0.5273380676905314,0.008748157309362053,0.527338 +- 0.008748,3
es,12,0.7832706570625305,0.005579102704068957,0.783271 +- 0.005579,3,0.5310174028078715,0.00860526133351397,0.531017 +- 0.008605,3
es,13,0.7785947322845459,0.005840133463493918,0.778595 +- 0.005840,3,0.5482429067293803,0.008149954382324647,0.548243 +- 0.008150,3
es,14,0.7750098705291748,0.006068837979205948,0.775010 +- 0.006069,3,0.5472984512646993,0.008678452559482496,0.547298 +- 0.008678,3
es,15,0.7783050139745077,0.005837163690505965,0.778305 +- 0.005837,3,0.544294019540151,0.009032267644905468,0.544294 +- 0.009032,3
es,16,0.7721598545710245,0.005401267226468739,0.772160 +- 0.005401,3,0.5414642294247946,0.007788156918265348,0.541464 +- 0.007788,3
es,17,0.7645176450411478,0.0054633389052732954,0.764518 +- 0.005463,3,0.5257700681686401,0.008269460853684227,0.525770 +- 0.008269,3
es,18,0.7639289100964864,0.005187908067848105,0.763929 +- 0.005188,3,0.4971289436022441,0.007947707477029855,0.497129 +- 0.007948,3
es,19,0.7499464948972067,0.005156498456867547,0.749946 +- 0.005156,3,0.48885296781857807,0.007513065455941436,0.488853 +- 0.007513,3
es,20,0.731821874777476,0.0056791315064262955,0.731822 +- 0.005679,3,0.46430320541063946,0.008084588018861603,0.464303 +- 0.008085,3
es,21,0.722635547320048,0.005500408059837813,0.722636 +- 0.005500,3,0.44105954964955646,0.007578299322369939,0.441060 +- 0.007578,3
es,22,0.7203798095385233,0.005760487601038513,0.720380 +- 0.005760,3,0.4155155618985494,0.007668562353280249,0.415516 +- 0.007669,3
es,23,0.7191992004712423,0.0058196817552007485,0.719199 +- 0.005820,3,0.391552875439326,0.007048142629530129,0.391553 +- 0.007048,3
es,24,0.6992559432983398,0.0057390407893864945,0.699256 +- 0.005739,3,0.3615094721317291,0.006430326144766626,0.361509 +- 0.006430,3
es,25,0.6863969365755717,0.006136586949471449,0.686397 +- 0.006137,3,0.3553385337193807,0.006127934185380361,0.355339 +- 0.006128,3
es,26,0.6681336561838785,0.005835314256733948,0.668134 +- 0.005835,3,0.3260463774204254,0.005544669096077687,0.326046 +- 0.005545,3
es,27,0.6493583718935648,0.006008952012689213,0.649358 +- 0.006009,3,0.3149251739184062,0.005448200642112175,0.314925 +- 0.005448,3
es,28,0.6357600092887878,0.005830660656122843,0.635760 +- 0.005831,3,0.3028983771800995,0.005484148387295467,0.302898 +- 0.005484,3
es,29,0.6089222629865011,0.006021376631085699,0.608922 +- 0.006021,3,0.3017046054204305,0.006036982424309992,0.301705 +- 0.006037,3
es,30,0.5956013600031534,0.00663590267851846,0.595601 +- 0.006636,3,0.2961226900418599,0.006976009241543653,0.296123 +- 0.006976,3
es,31,0.5890434384346008,0.00922793867887768,0.589043 +- 0.009228,3,0.2958483894666036,0.009369680778084645,0.295848 +- 0.009370,3
