layer,cosine_sim,cosine_sim_adjusted
0,0.6550130844116211,0.34345024824142456
1,0.5976420044898987,0.3621504604816437
2,0.6507876515388489,0.35671696066856384
3,0.6513845324516296,0.40092992782592773
4,0.6723996996879578,0.4370686113834381
5,0.7022916078567505,0.4483983814716339
6,0.7137743234634399,0.4853198230266571
7,0.7340094447135925,0.5141527056694031
8,0.741802453994751,0.5160182118415833
9,0.7550829648971558,0.513257622718811
10,0.7590894103050232,0.5276949405670166
11,0.7589890360832214,0.5299282073974609
12,0.7752048969268799,0.5343067646026611
13,0.7725951075553894,0.5535461902618408
14,0.7674888372421265,0.5530242919921875
15,0.7703057527542114,0.5515991449356079
16,0.7697716355323792,0.5523115396499634
17,0.7628735899925232,0.5386413335800171
18,0.7639809846878052,0.5114714503288269
19,0.7517136335372925,0.5040686726570129
20,0.736588180065155,0.4793960154056549
21,0.7263323068618774,0.45733359456062317
22,0.7207403182983398,0.43079131841659546
23,0.7175836563110352,0.4064488708972931
24,0.6981619596481323,0.3755713701248169
25,0.6922398209571838,0.37073710560798645
26,0.6561664938926697,0.3368990123271942
27,0.6398481130599976,0.3260650634765625
28,0.626185953617096,0.311174601316452
29,0.5949851870536804,0.31022241711616516
30,0.5902271866798401,0.3045470714569092
31,0.5816797614097595,0.30870136618614197
