layer,cosine_sim,cosine_sim_adjusted
0,0.6567503809928894,0.3256026804447174
1,0.6250641942024231,0.3524237275123596
2,0.67595374584198,0.3479367792606354
3,0.6614717841148376,0.38811713457107544
4,0.6664429903030396,0.4158778786659241
5,0.6898456811904907,0.4248845875263214
6,0.6960780620574951,0.4591726064682007
7,0.7143899202346802,0.4876425266265869
8,0.7208606004714966,0.4879946708679199
9,0.7319311499595642,0.48277318477630615
10,0.7325888872146606,0.4956452548503876
11,0.7320082783699036,0.49621129035949707
12,0.7506468892097473,0.5033764839172363
13,0.7481927275657654,0.5220892429351807
14,0.7465783953666687,0.5227625370025635
15,0.7567508816719055,0.5260015726089478
16,0.7538443803787231,0.5264807343482971
17,0.7485778331756592,0.5127167701721191
18,0.7481725215911865,0.4857885539531708
19,0.734130859375,0.47712212800979614
20,0.7205426692962646,0.45376527309417725
21,0.7116044163703918,0.4322948753833771
22,0.7041350603103638,0.40418845415115356
23,0.7019650936126709,0.3816196620464325
24,0.6761694550514221,0.3500345051288605
25,0.6655482053756714,0.34439679980278015
26,0.6515340805053711,0.3181297481060028
27,0.631688117980957,0.30658790469169617
28,0.6161890625953674,0.29150864481925964
29,0.5849750638008118,0.2924868166446686
30,0.5809181928634644,0.2876216769218445
31,0.5748827457427979,0.28452566266059875
