folder,lang_prefix,model_type,version,total_samples,mislang_count,mislang_pct,avg_length,top1_lang,top1_count,top1_pct,top2_lang,top2_count,top2_pct,top3_lang,top3_count,top3_pct,others_count,others_pct
en-results-mapo_enesru_llama3_8b_ppo_v0,en,ppo,v0,805,8,0.99,1285.96,fr,3,37.50,da,1,12.50,zh,1,12.50,3,37.50
en-results-mapo_enesru_llama3_8b_sft_v0,en,sft,v0,805,14,1.74,987.43,fr,4,28.57,de,4,28.57,es,2,14.29,4,28.57
en-results-mapo_enesru_llama3_8b_w-reinforce_v0,en,w-reinforce,v0,805,2,0.25,1593.70,et,1,50.00,fr,1,50.00,,,,0,0.00
es-results-mapo_enesru_llama3_8b_dpo_250426_v1,es,dpo_250426,v1,805,122,15.16,1585.47,en,120,98.36,fr,2,1.64,,,,0,0.00
es-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v1,es,npo_checkpoint-1,v1,805,214,26.58,1644.51,en,211,98.60,fr,2,0.93,da,1,0.47,0,0.00
es-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v1,es,npo_checkpoint-2,v1,805,212,26.34,1638.33,en,209,98.58,fr,2,0.94,et,1,0.47,0,0.00
es-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v1,es,npo_checkpoint-3,v1,805,208,25.84,1675.88,en,205,98.56,pt,1,0.48,fr,1,0.48,1,0.48
es-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v1,es,npo_checkpoint-4,v1,805,213,26.46,1670.12,en,207,97.18,fr,2,0.94,de,1,0.47,3,1.41
es-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v1,es,npo_checkpoint-5,v1,805,206,25.59,1679.83,en,202,98.06,fr,2,0.97,it,1,0.49,1,0.49
es-results-mapo_enesru_llama3_8b_npo_v1,es,npo,v1,805,805,100.00,4646.95,en,804,99.88,fr,1,0.12,,,,0,0.00
es-results-mapo_enesru_llama3_8b_ppo_v1,es,ppo,v1,805,25,3.11,1176.59,en,19,76.00,fr,2,8.00,pt,2,8.00,2,8.00
es-results-mapo_enesru_llama3_8b_sft_v1,es,sft,v1,805,25,3.11,1031.40,en,16,64.00,fr,3,12.00,it,2,8.00,4,16.00
es-results-mapo_enesru_llama3_8b_w-reinforce_v1,es,w-reinforce,v1,805,147,18.26,1575.94,en,143,97.28,de,1,0.68,it,1,0.68,2,1.36
fr-results-mapo_enesru_llama3_8b_dpo_250426_v0,fr,dpo_250426,v0,805,92,11.43,1628.38,en,91,98.91,de,1,1.09,,,,0,0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v0,fr,npo_checkpoint-1,v0,805,138,17.14,1741.28,en,136,98.55,is,1,0.72,de,1,0.72,0,0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v0,fr,npo_checkpoint-2,v0,805,136,16.89,1763.64,en,134,98.53,de,1,0.74,es,1,0.74,0,0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v0,fr,npo_checkpoint-3,v0,805,140,17.39,1743.20,en,136,97.14,fi,1,0.71,pt,1,0.71,2,1.43
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v0,fr,npo_checkpoint-4,v0,805,138,17.14,1757.99,en,134,97.10,sh,1,0.72,fi,1,0.72,2,1.45
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v0,fr,npo_checkpoint-5,v0,805,140,17.39,1768.29,en,139,99.29,de,1,0.71,,,,0,0.00
fr-results-mapo_enesru_llama3_8b_npo_v0,fr,npo,v0,805,804,99.88,4702.53,en,804,100.00,,,,,,,0,0.00
fr-results-mapo_enesru_llama3_8b_ppo_v0,fr,ppo,v0,805,22,2.73,1274.06,en,20,90.91,de,1,4.55,it,1,4.55,0,0.00
fr-results-mapo_enesru_llama3_8b_sft_v0,fr,sft,v0,805,12,1.49,1098.75,en,6,50.00,de,3,25.00,ceb,2,16.67,1,8.33
fr-results-mapo_enesru_llama3_8b_w-reinforce_v0,fr,w-reinforce,v0,805,98,12.17,1642.24,en,96,97.96,et,1,1.02,es,1,1.02,0,0.00
ru-results-mapo_enesru_llama3_8b_dpo_250426_v2,ru,dpo_250426,v2,805,158,19.63,1529.34,en,149,94.30,fr,5,3.16,uk,1,0.63,3,1.90
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v2,ru,npo_checkpoint-1,v2,805,224,27.83,1688.39,en,217,96.88,fr,3,1.34,it,1,0.45,3,1.34
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v2,ru,npo_checkpoint-2,v2,805,226,28.07,1616.65,en,218,96.46,fr,2,0.88,it,1,0.44,5,2.21
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v2,ru,npo_checkpoint-3,v2,805,226,28.07,1638.28,en,221,97.79,es,2,0.88,it,1,0.44,2,0.88
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v2,ru,npo_checkpoint-4,v2,805,233,28.94,1611.00,en,225,96.57,fr,3,1.29,it,1,0.43,4,1.72
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v2,ru,npo_checkpoint-5,v2,805,233,28.94,1637.16,en,230,98.71,fr,2,0.86,zh,1,0.43,0,0.00
ru-results-mapo_enesru_llama3_8b_npo_v2,ru,npo,v2,796,796,100.00,4529.78,en,794,99.75,kn,1,0.13,fr,1,0.13,0,0.00
ru-results-mapo_enesru_llama3_8b_ppo_v2,ru,ppo,v2,805,17,2.11,1170.05,en,11,64.71,de,2,11.76,sr,2,11.76,2,11.76
ru-results-mapo_enesru_llama3_8b_sft_v2,ru,sft,v2,805,20,2.48,991.82,en,17,85.00,fr,2,10.00,sr,1,5.00,0,0.00
ru-results-mapo_enesru_llama3_8b_w-reinforce_v2,ru,w-reinforce,v2,805,193,23.98,1571.86,en,182,94.30,es,3,1.55,fr,3,1.55,5,2.59
