folder,lang_prefix,model_type,version,total_samples,mislang_count,mislang_pct,avg_length,top1_lang,top1_count,top1_pct,top2_lang,top2_count,top2_pct,top3_lang,top3_count,top3_pct,others_count,others_pct
fr-results-icr_enesru_llama3_8b_npo_checkpoint-10_v0,fr,npo_checkpoint-10,v0,805,109,13.54,1745.07,en,108,99.08,de,1,0.92,,,,0,0.00
fr-results-icr_enesru_llama3_8b_npo_checkpoint-20_v0,fr,npo_checkpoint-20,v0,805,2,0.25,3612.75,en,1,50.00,ru,1,50.00,,,,0,0.00
fr-results-icr_enesru_llama3_8b_npo_checkpoint-30_v0,fr,npo_checkpoint-30,v0,805,10,1.24,8088.17,ru,3,30.00,de,2,20.00,es,1,10.00,4,40.00
fr-results-icr_enesru_llama3_8b_npo_150426_v0,fr,npo_150426,v0,804,15,1.87,6883.91,ru,4,26.67,it,2,13.33,de,2,13.33,7,46.67
ru-results-icr_enesru_llama3_8b_npo_checkpoint-1_v2,ru,npo_checkpoint-1,v2,805,234,29.07,1640.20,en,229,97.86,fr,2,0.85,es,1,0.43,2,0.85
ru-results-icr_enesru_llama3_8b_npo_checkpoint-2_v2,ru,npo_checkpoint-2,v2,805,231,28.70,1652.55,en,224,96.97,fr,2,0.87,zh,2,0.87,3,1.30
ru-results-icr_enesru_llama3_8b_npo_checkpoint-3_v2,ru,npo_checkpoint-3,v2,805,228,28.32,1651.20,en,221,96.93,fr,2,0.88,hu,1,0.44,4,1.75
ru-results-icr_enesru_llama3_8b_npo_checkpoint-4_v2,ru,npo_checkpoint-4,v2,805,222,27.58,1620.83,en,216,97.30,fr,3,1.35,es,1,0.45,2,0.90
ru-results-icr_enesru_llama3_8b_npo_checkpoint-5_v2,ru,npo_checkpoint-5,v2,805,236,29.32,1655.61,en,230,97.46,fr,3,1.27,es,1,0.42,2,0.85
ru-results-icr_enesru_llama3_8b_npo_checkpoint-10_v2,ru,npo_checkpoint-10,v2,805,194,24.10,1655.32,en,187,96.39,fr,2,1.03,mk,1,0.52,4,2.06
ru-results-icr_enesru_llama3_8b_npo_checkpoint-20_v2,ru,npo_checkpoint-20,v2,805,8,0.99,4095.32,en,4,50.00,ka,1,12.50,es,1,12.50,2,25.00
ru-results-icr_enesru_llama3_8b_npo_checkpoint-30_v2,ru,npo_checkpoint-30,v2,794,10,1.26,1499.47,uk,3,30.00,bg,3,30.00,sr,2,20.00,2,20.00
ru-results-icr_enesru_llama3_8b_npo_150426_v2,ru,npo_150426,v2,797,17,2.13,935.58,uk,9,52.94,sr,3,17.65,bg,2,11.76,3,17.65
