folder                                                  , lang_prefix, model_type       , version, total_samples, mislang_count, mislang_pct, avg_length, top1_lang, top1_count, top1_pct, top2_lang, top2_count, top2_pct, top3_lang, top3_count, top3_pct, others_count, others_pct
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0 , fr         , npo_checkpoint-4 , v0     ,           805,           137,       17.02,    1743.95, en       ,        135,    98.54, is       ,          1,     0.73, de       ,          1,     0.73,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0 , fr         , npo_checkpoint-5 , v0     ,           805,           141,       17.52,    1758.07, en       ,        138,    97.87, is       ,          1,     0.71, zh       ,          1,     0.71,            1,       0.71
fr-results-lacomsa_enesru_llama3_8b_npo_v0              , fr         , npo              , v0     ,           799,            14,        1.75,    4080.67, en       ,          5,    35.71, de       ,          2,    14.29, ru       ,          2,    14.29,            5,      35.71
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v2, ru         , npo_checkpoint-10, v2     ,           805,           222,       27.58,    1599.71, en       ,        215,    96.85, fr       ,          3,     1.35, es       ,          1,     0.45,            3,       1.35
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v2 , ru         , npo_checkpoint-1 , v2     ,           805,           224,       27.83,    1688.39, en       ,        217,    96.88, fr       ,          3,     1.34, it       ,          1,     0.45,            3,       1.34
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-20_v2, ru         , npo_checkpoint-20, v2     ,           805,            42,        5.22,    1549.31, en       ,         39,    92.86, it       ,          1,     2.38, fr       ,          1,     2.38,            1,       2.38
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v2 , ru         , npo_checkpoint-2 , v2     ,           805,           230,       28.57,    1649.67, en       ,        226,    98.26, it       ,          1,     0.43, es       ,          1,     0.43,            2,       0.87
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-30_v2, ru         , npo_checkpoint-30, v2     ,           776,             9,        1.16,    2901.17, en       ,          4,    44.44, uk       ,          1,    11.11, zh       ,          1,    11.11,            3,      33.33
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v2 , ru         , npo_checkpoint-3 , v2     ,           805,           230,       28.57,    1615.66, en       ,        225,    97.83, zh       ,          2,     0.87, it       ,          1,     0.43,            2,       0.87
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v2 , ru         , npo_checkpoint-4 , v2     ,           805,           227,       28.20,    1627.64, en       ,        219,    96.48, nl       ,          2,     0.88, fr       ,          2,     0.88,            4,       1.76
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v2 , ru         , npo_checkpoint-5 , v2     ,           805,           237,       29.44,    1659.20, en       ,        231,    97.47, fr       ,          3,     1.27, es       ,          1,     0.42,            2,       0.84
ru-results-lacomsa_enesru_llama3_8b_npo_v2              , ru         , npo              , v2     ,           743,            13,        1.75,    3198.77, en       ,          6,    46.15, uk       ,          5,    38.46, pl       ,          1,     7.69,            1,       7.69
