folder,lang_prefix,model_type,version,total_samples,mislang_count,mislang_pct,avg_length,top1_lang,top1_count,top1_pct,top2_lang,top2_count,top2_pct,top3_lang,top3_count,top3_pct,others_count,others_pct
fr-results-icr_enesru_llama3_8b_npo_checkpoint-4_v0,fr,npo_checkpoint-4,v0,805,146,18.14,1697.60,en,142,97.26,de,3,2.05,tr,1,0.68,0,0.00
fr-results-icr_enesru_llama3_8b_npo_checkpoint-5_v0,fr,npo_checkpoint-5,v0,805,143,17.76,1691.83,en,139,97.20,de,2,1.40,fi,1,0.70,1,0.70
fr-results-icr_enesru_llama3_8b_ppo_150426_v0,fr,ppo_150426,v0,805,75,9.32,1752.53,en,72,96.00,fi,1,1.33,de,1,1.33,1,1.33
fr-results-icr_enesru_llama3_8b_sft_150426_v0,fr,sft_150426,v0,805,92,11.43,2381.25,en,83,90.22,es,4,4.35,de,2,2.17,3,3.26
fr-results-icr_enesru_llama3_8b_w-reinforce_150426_v0,fr,w-reinforce_150426,v0,805,10,1.24,1710.80,en,8,80.00,cy,1,10.00,de,1,10.00,0,0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v0,fr,npo_checkpoint-5,v0,805,140,17.39,1768.29,en,139,99.29,de,1,0.71,,,,0,0.00
ru-results-icr_enesru_llama3_8b_dpo_250426_v2,ru,dpo_250426,v2,805,7,0.87,1449.61,en,4,57.14,mk,1,14.29,es,1,14.29,1,14.29
ru-results-icr_enesru_llama3_8b_npo_150426_v2,ru,npo_150426,v2,797,17,2.13,935.58,uk,9,52.94,sr,3,17.65,bg,2,11.76,3,17.65
ru-results-icr_enesru_llama3_8b_npo_checkpoint-1_v2,ru,npo_checkpoint-1,v2,805,234,29.07,1640.20,en,229,97.86,fr,2,0.85,es,1,0.43,2,0.85
ru-results-icr_enesru_llama3_8b_npo_checkpoint-2_v2,ru,npo_checkpoint-2,v2,805,231,28.70,1652.55,en,224,96.97,fr,2,0.87,zh,2,0.87,3,1.30
ru-results-icr_enesru_llama3_8b_npo_checkpoint-3_v2,ru,npo_checkpoint-3,v2,805,228,28.32,1651.20,en,221,96.93,fr,2,0.88,hu,1,0.44,4,1.75
ru-results-icr_enesru_llama3_8b_npo_checkpoint-4_v2,ru,npo_checkpoint-4,v2,805,222,27.58,1620.83,en,216,97.30,fr,3,1.35,es,1,0.45,2,0.90
ru-results-icr_enesru_llama3_8b_npo_checkpoint-5_v2,ru,npo_checkpoint-5,v2,805,236,29.32,1655.61,en,230,97.46,fr,3,1.27,es,1,0.42,2,0.85
ru-results-icr_enesru_llama3_8b_ppo_150426_v2,ru,ppo_150426,v2,805,161,20.00,1524.10,en,154,95.65,fr,3,1.86,zh,1,0.62,3,1.86
ru-results-icr_enesru_llama3_8b_sft_150426_v2,ru,sft_150426,v2,805,116,14.41,2048.90,en,115,99.14,fr,1,0.86,,,,0,0.00
ru-results-icr_enesru_llama3_8b_w-reinforce_150426_v2,ru,w-reinforce_150426,v2,805,9,1.12,1683.04,en,6,66.67,uk,1,11.11,fr,1,11.11,1,11.11
