expected_lang,es,ru,en,fr,pt,de,hi,uk,others
es,77.73,0.15,13.60,3.05,0.85,0.48,0.46,0.04,3.64
ru,1.81,83.91,8.75,0.98,0.09,0.30,0.28,0.59,3.29
