expected_lang,es,ru,en,pt,fa,hi,ur,ja,others
es,52.18,0.02,41.94,0.52,0.42,0.38,0.34,0.34,3.86
ru,0.70,51.80,41.66,0.30,0.32,0.36,0.32,0.28,4.26
