folder                                               , lang_prefix, model_type       , version, total_samples, mislang_count, mislang_pct, avg_length, top1_lang, top1_count, top1_pct, top2_lang, top2_count, top2_pct, top3_lang, top3_count, top3_pct, others_count, others_pct
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-10_v0, fr         , npo_checkpoint-10, v0     ,           805,           185,       22.98,    1778.03, en       ,        181,    97.84, id       ,          1,     0.54, et       ,          1,     0.54,            2,       1.08
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v0 , fr         , npo_checkpoint-1 , v0     ,           805,           138,       17.14,    1741.28, en       ,        136,    98.55, is       ,          1,     0.72, de       ,          1,     0.72,            0,       0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-20_v0, fr         , npo_checkpoint-20, v0     ,           805,           804,       99.88,    3063.69, en       ,        803,    99.88, de       ,          1,     0.12,          ,           ,         ,            0,       0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v0 , fr         , npo_checkpoint-2 , v0     ,           805,           136,       16.89,    1763.64, en       ,        134,    98.53, de       ,          1,     0.74, es       ,          1,     0.74,            0,       0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-30_v0, fr         , npo_checkpoint-30, v0     ,           805,           804,       99.88,    4371.55, en       ,        804,   100.00,          ,           ,         ,          ,           ,         ,            0,       0.00
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v0 , fr         , npo_checkpoint-3 , v0     ,           805,           140,       17.39,    1743.20, en       ,        136,    97.14, fi       ,          1,     0.71, pt       ,          1,     0.71,            2,       1.43
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v0 , fr         , npo_checkpoint-4 , v0     ,           805,           138,       17.14,    1757.99, en       ,        134,    97.10, sh       ,          1,     0.72, fi       ,          1,     0.72,            2,       1.45
fr-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v0 , fr         , npo_checkpoint-5 , v0     ,           805,           140,       17.39,    1768.29, en       ,        139,    99.29, de       ,          1,     0.71,          ,           ,         ,            0,       0.00
fr-results-mapo_enesru_llama3_8b_npo_v0              , fr         , npo              , v0     ,           805,           804,       99.88,    4702.53, en       ,        804,   100.00,          ,           ,         ,          ,           ,         ,            0,       0.00
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-10_v2, ru         , npo_checkpoint-10, v2     ,           805,           278,       34.53,    1694.89, en       ,        272,    97.84, fr       ,          3,     1.08, es       ,          1,     0.36,            2,       0.72
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v2 , ru         , npo_checkpoint-1 , v2     ,           805,           224,       27.83,    1688.39, en       ,        217,    96.88, fr       ,          3,     1.34, it       ,          1,     0.45,            3,       1.34
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-20_v2, ru         , npo_checkpoint-20, v2     ,           805,           805,      100.00,    3068.49, en       ,        804,    99.88, fr       ,          1,     0.12,          ,           ,         ,            0,       0.00
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v2 , ru         , npo_checkpoint-2 , v2     ,           805,           226,       28.07,    1616.65, en       ,        218,    96.46, fr       ,          2,     0.88, it       ,          1,     0.44,            5,       2.21
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-30_v2, ru         , npo_checkpoint-30, v2     ,           804,           804,      100.00,    4212.54, en       ,        803,    99.88, fr       ,          1,     0.12,          ,           ,         ,            0,       0.00
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v2 , ru         , npo_checkpoint-3 , v2     ,           805,           226,       28.07,    1638.28, en       ,        221,    97.79, es       ,          2,     0.88, it       ,          1,     0.44,            2,       0.88
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v2 , ru         , npo_checkpoint-4 , v2     ,           805,           233,       28.94,    1611.00, en       ,        225,    96.57, fr       ,          3,     1.29, it       ,          1,     0.43,            4,       1.72
ru-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v2 , ru         , npo_checkpoint-5 , v2     ,           805,           233,       28.94,    1637.16, en       ,        230,    98.71, fr       ,          2,     0.86, zh       ,          1,     0.43,            0,       0.00
ru-results-mapo_enesru_llama3_8b_npo_v2              , ru         , npo              , v2     ,           796,           796,      100.00,    4529.78, en       ,        794,    99.75, kn       ,          1,     0.13, fr       ,          1,     0.13,            0,       0.00
