model_type        , lang, avg_length
npo_checkpoint-4  , en  ,     1631.0
w-reinforce       , en  ,     1712.0
npo_checkpoint-3  , en  ,     1639.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
npo_checkpoint-10 , en  ,     1662.0
ppo               , en  ,     1726.0
npo_checkpoint-5  , en  ,     1629.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo_checkpoint-20 , en  ,     2780.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
w-reinforce       , en  ,     1712.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
ppo               , en  ,     1726.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
npo_checkpoint-4  , en  ,     1631.0
w-reinforce       , en  ,     1712.0
npo_checkpoint-3  , en  ,     1639.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
npo_checkpoint-10 , en  ,     1662.0
ppo               , en  ,     1726.0
npo_checkpoint-5  , en  ,     1629.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo_checkpoint-20 , en  ,     2780.0
npo               , en  ,        9.0
npo_checkpoint-30 , en  ,     3790.0
dpo               , en  ,     1861.0
w-reinforce       , en  ,     1712.0
npo_checkpoint-3  , en  ,     1639.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
ppo               , en  ,     1726.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
npo_checkpoint-4  , en  ,     1631.0
w-reinforce       , en  ,     1712.0
npo_checkpoint-3  , en  ,     1639.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
ppo               , en  ,     1726.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
npo_checkpoint-4  , en  ,     1631.0
w-reinforce       , en  ,     1712.0
npo_checkpoint-3  , en  ,     1639.0
w-reinforce_150426, en  ,     1673.0
npo_checkpoint-1  , en  ,     1646.0
ppo               , en  ,     1726.0
npo_checkpoint-5  , en  ,     1629.0
npo_checkpoint-2  , en  ,     1695.0
ppo_150426        , en  ,     1907.0
dpo_250426        , en  ,     1541.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
ppo               , en  ,     1726.0
ppo_150426        , en  ,     1907.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
ppo               , en  ,     1726.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo               , en  ,     1861.0
w-reinforce       , en  ,     1712.0
w-reinforce_150426, en  ,     1673.0
ppo               , en  ,     1726.0
ppo_150426        , en  ,     1907.0
sft_150426        , en  ,     1784.0
sft               , en  ,     1915.0
npo               , en  ,        9.0
dpo_150426        , es  ,     1634.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
dpo_150426        , es  ,     1634.0
npo_150426        , es  ,     8475.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-10 , es  ,     1678.0
npo_checkpoint-3  , es  ,     1671.0
npo_checkpoint-4  , es  ,     1664.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-5  , es  ,     1672.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-10 , es  ,     1678.0
npo_checkpoint-3  , es  ,     1671.0
npo_checkpoint-4  , es  ,     1664.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-5  , es  ,     1672.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo_checkpoint-20 , es  ,     3446.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
npo_checkpoint-2  , es  ,     1645.0
npo_checkpoint-1  , es  ,     1663.0
sft               , es  ,     1994.0
sft_150426        , es  ,     2077.0
npo               , es  ,        0.0
w-reinforce_150426, es  ,     1583.0
w-reinforce       , es  ,     1631.0
dpo_250426        , es  ,     1476.0
dpo               , es  ,     1808.0
npo_checkpoint-10 , es  ,     1678.0
npo_checkpoint-3  , es  ,     1671.0
npo_checkpoint-4  , es  ,     1664.0
ppo_150426        , es  ,     1609.0
ppo               , es  ,     1724.0
