,length_controlled_winrate,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,lc_standard_error
llama3_8b_ma_lacomsa_top1_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.64,25.53,1.54,community,1853,205,599,1,805,25.53,0.30
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.59,25.53,1.54,community,1796,205,599,1,805,25.53,0.24
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.49,22.67,1.48,community,1621,182,622,1,805,22.67,0.34
llama3_8b_ma_lacomsa_es3_ru5_de5_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.47,26.27,1.55,community,1821,211,593,1,805,26.27,0.26
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.42,27.02,1.56,community,1854,217,587,1,805,27.02,0.30
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.42,25.16,1.53,community,1761,202,602,1,805,25.16,0.20
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,17.41,24.41,1.51,community,1734,196,608,1,805,24.41,0.28
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,17.30,21.86,1.46,community,1499,175,628,2,805,21.86,0.25
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,17.28,24.66,1.52,community,1890,198,606,1,805,24.66,0.30
llama3_8b_ma_lacomsa_top5_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,17.25,24.41,1.51,community,1748,196,608,1,805,24.41,0.30
icr_enesru_llama3_8b_w-reinforce,17.15,27.45,1.57,community,2105,221,584,0,805,27.45,0.26
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,17.13,22.17,1.46,community,1614,178,626,1,805,22.17,0.29
llama3_8b_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42_0505,17.13,25.28,1.53,community,1789,203,601,1,805,25.28,0.25
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed44,16.91,21.55,1.45,community,1494,173,631,1,805,21.55,0.28
llama3_8b_ma_lacomsa_top7_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.88,21.12,1.44,community,1519,169,634,2,805,21.12,0.33
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.70,22.17,1.46,community,1613,178,626,1,805,22.17,0.32
llama3_8b_ma_lacomsa_all_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,16.64,24.04,1.51,community,1790,193,611,1,805,24.04,0.28
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.59,23.91,1.50,community,1735,192,612,1,805,23.91,0.24
llama3_8b_ma_lacomsa_es5_ru5_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,16.53,21.55,1.45,community,1622,173,631,1,805,21.55,0.28
llama3_8b_max_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.47,22.05,1.46,community,1640,177,627,1,805,22.05,0.23
llama3_8b_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.32,24.66,1.52,community,1769,198,606,1,805,24.66,0.25
llama3_8b_ms01_ma_lacomsa_top1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.16,23.29,1.49,community,1718,187,617,1,805,23.29,0.31
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.14,21.93,1.46,community,1739,176,628,1,805,21.93,0.29
llama3_8b_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,16.09,24.16,1.51,community,1786,194,610,1,805,24.16,0.23
llama3_8b_ma_lacomsa_top7_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,16.00,23.42,1.49,community,1756,188,616,1,805,23.42,0.21
llama3_8b_min_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,15.57,23.42,1.49,community,1758,188,616,1,805,23.42,0.20
llama3_8b_ma_lacomsa_es1_ru1_de1_fr10_v2_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,15.28,21.43,1.45,community,1605,172,632,1,805,21.43,0.25
lacomsa_w-reinforce_random,15.26,20.31,1.42,community,1633,163,641,1,805,20.31,0.26
llama3_8b_lacomsa_high_lang_easy_lc_seed43,15.19,21.55,1.45,community,1590,173,631,1,805,21.55,0.25
llama3_8b_lacomsa_high_lang_easy_lc_seed42,14.85,20.56,1.42,community,1589,165,639,1,805,20.56,0.26
llama3_8b_ma_lacomsa_top30_bottom3_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,14.53,21.18,1.44,community,1723,170,634,1,805,21.18,0.25
llama3_8b_max_ms01_ma_lacomsa_top10_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,14.52,21.68,1.45,community,1725,174,630,1,805,21.68,0.22
lacomsa_enesru_llama3_8b_w-reinforce,14.27,19.19,1.39,community,1645,154,650,1,805,19.19,0.23
llama3_8b_maxv2_no_norm_ms01_ma_lacomsa_top3_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,13.86,22.92,1.48,community,1797,184,620,1,805,22.92,0.19
lidr_enesru_llama3_8b_w-reinforce,13.10,17.39,1.33,community,2694,139,664,2,805,17.39,0.28
icr_w-reinforce_random,12.92,20.12,1.41,community,2042,162,643,0,805,20.12,0.23
mapo_w-reinforce_random_170526,10.91,17.27,1.33,community,1776,139,666,0,805,17.27,0.17
llama3_8b_ms01_ma_lacomsa_-1_margin0.1_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,9.67,18.26,1.36,community,1872,147,658,0,805,18.26,0.15
lidr_enesru_llama3_8b_dpo,9.58,12.17,1.15,community,4293,98,707,0,805,12.17,0.19
mapo_w-reinforce_random,3.41,5.96,0.84,community,1938,48,757,0,805,5.96,0.09
icr_enesru_llama3_8b_npo_150426,0.00,0.00,0.00,community,926,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed44,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
qwen2.5_7b_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,0.00,0.00,0.00,community,4096,0,805,0,805,0.00,0.00
