layer,cosine_sim,cosine_sim_adjusted
0,0.7093152403831482,0.37277722358703613
1,0.669902503490448,0.38806796073913574
2,0.7073601484298706,0.3715575635433197
3,0.6977668404579163,0.4159772992134094
4,0.7066839337348938,0.44908174872398376
5,0.7247429490089417,0.4530840218067169
6,0.7321840524673462,0.48844194412231445
7,0.7485281825065613,0.5177064538002014
8,0.7542246580123901,0.5206791162490845
9,0.7659792900085449,0.5189248919487
10,0.7686746716499329,0.5322999358177185
11,0.7657296061515808,0.5338403582572937
12,0.7811272740364075,0.5376904010772705
13,0.7757446765899658,0.5534160137176514
14,0.7708242535591125,0.5509440898895264
15,0.7735605835914612,0.5466793179512024
16,0.7667379379272461,0.5431150794029236
17,0.758269727230072,0.5260863304138184
18,0.7576959133148193,0.4973839819431305
19,0.743670642375946,0.4886559545993805
20,0.7256274819374084,0.46340247988700867
21,0.7168684005737305,0.44027233123779297
22,0.7154058814048767,0.414142906665802
23,0.7144102454185486,0.3893193304538727
24,0.6955062747001648,0.35924455523490906
25,0.6823300719261169,0.3536396622657776
26,0.6641645431518555,0.3243085443973541
27,0.6447088122367859,0.31334391236305237
28,0.6307103037834167,0.30091676115989685
29,0.6021903157234192,0.2997031807899475
30,0.5879905819892883,0.29339513182640076
31,0.5785223841667175,0.2905351519584656
