source, model               , win_rate          , length_controlled_winrate, avg_length
ru    , npo_checkpoint-2    , 16.335403726708076,   12.614358475066446     ,       1652
ru    , npo_checkpoint-3    , 18.571428571428573,   13.070950664390008     ,       1651
ru    , npo_checkpoint-4    , 18.944099378881987,   13.960635479678116     ,       1620
ru    , npo_checkpoint-5    , 18.509316770186334,   12.741188167467646     ,       1655
ru    , npo_checkpoint-10   , 19.565217391304348,   14.298182148230135     ,       1655
ru    , npo_checkpoint-20   ,  5.341614906832298,    2.829623978547144     ,       4095
ru    , npo_checkpoint-30   ,  0.0              ,    0.00024148427415226456,       1478
ru    , npo                 ,  0.00             ,    0.00                  ,        926
ru    , w-reinforce_0.1_1.0 , 30.248447204968944,   22.165304091703355     ,       1971
ru    , w-reinforce_10.0_1.0, 19.25465838509317 ,   14.090912205530953     ,       1552
ru    , w-reinforce         , 25.279503105590063,   22.321760278192624     ,       1683
