layer,cosine_sim,cosine_sim_adjusted
0,0.6838364005088806,0.3460991382598877
1,0.6439269781112671,0.3708219528198242
2,0.6908035278320312,0.36320677399635315
3,0.6735291481018066,0.3995145261287689
4,0.6776782274246216,0.4285106360912323
5,0.6997417211532593,0.4363119900226593
6,0.7066317200660706,0.47095146775245667
7,0.7234650254249573,0.4990663528442383
8,0.7287468314170837,0.49964165687561035
9,0.7395424842834473,0.4951123297214508
10,0.7402198314666748,0.5081924796104431
11,0.7383809089660645,0.5080294013023376
12,0.7548511624336243,0.5137166380882263
13,0.7532318830490112,0.5315530896186829
14,0.7516595125198364,0.5324750542640686
15,0.7603363990783691,0.5350112318992615
16,0.7567135095596313,0.5340085625648499
17,0.7509023547172546,0.5198691487312317
18,0.7502799034118652,0.4920855164527893
19,0.7363593578338623,0.4821932911872864
20,0.7235392928123474,0.45986244082450867
21,0.7155017852783203,0.437747985124588
22,0.7087012529373169,0.41007763147354126
23,0.7073972821235657,0.3865499496459961
24,0.6820880174636841,0.35429197549819946
25,0.6722592115402222,0.34916040301322937
26,0.6591077446937561,0.32286956906318665
27,0.6403178572654724,0.31183820962905884
28,0.6258753538131714,0.2977572977542877
29,0.5963245630264282,0.3004992604255676
30,0.5924957394599915,0.2974013090133667
31,0.5907776951789856,0.29821088910102844
