,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed43,45.77639751552795,1.7537608529065742,community,2038,367,435,3,805,45.77639751552795,40.303589908834894,0.0478565756451851
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed42,35.714285714285715,1.6864257580055018,community,1677,286,516,3,805,35.714285714285715,39.59341064528219,0.0427530237783794
qwen2.5_7b_ms01_ma_lacomsa_top30_high_lang_g0p0_all_pairs_easy_lc_seed42,46.14906832298137,1.7548275825755386,community,2060,370,432,3,805,46.14906832298137,39.42207066232064,0.0803515312535887
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed42,35.59006211180124,1.6851107260487883,community,1691,285,517,3,805,35.59006211180124,39.07277023394248,0.0711623014177892
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed44,34.53416149068323,1.6745819479343649,community,1664,277,526,2,805,34.53416149068323,38.08846715247528,0.1042780639448306
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed44,33.72670807453416,1.6638769686544426,community,1694,270,532,3,805,33.72670807453416,37.42766750608905,0.0355366210213428
qwen2.5_7b_ma_lacomsa_top7_top30_high_lang_g0p0_all_pairs_medium_seed43,34.223602484472046,1.6698186033866236,community,1692,274,528,3,805,34.223602484472046,37.31095696594996,0.0566027893085547
qwen2.5_7b_ma_lacomsa_top10_top30_high_lang_g0p0_all_pairs_medium_seed43,34.09937888198758,1.6683524352196504,community,1703,273,529,3,805,34.09937888198758,36.98280016306733,0.0754238030248191
icr_enesru_llama3_8b_dpo,27.51552795031056,1.5737835571662149,community,1861,221,583,1,805,27.51552795031056,24.893266715863845,0.2563639966761595
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed43,24.96894409937888,1.523952645961818,community,2074,200,603,2,805,24.96894409937888,24.556773507430844,0.2883944299003346
icr_enesru_llama3_8b_w-reinforce,24.099378881987576,1.5057710895420586,community,1712,193,610,2,805,24.099378881987576,23.47128330189873,0.3261770932997561
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed43,21.11801242236025,1.4367336215542974,community,1577,169,634,2,805,21.11801242236025,23.1277744037734,0.2354969137334568
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_seed42,22.111801242236027,1.460949901376626,community,1619,177,626,2,805,22.111801242236027,23.09402292138668,0.3326725693385259
icr_enesru_llama3_8b_w-reinforce_150426,21.73913043478261,1.4520152710560696,community,1673,174,629,2,805,21.73913043478261,21.964236457472,0.3586026332401207
llama3_8b_ma_lacomsa_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed42,24.596273291925467,1.516263199799499,community,1850,197,606,2,805,24.596273291925467,21.945081580996234,0.2792470346246267
mapo_enesru_llama3_8b_dpo_250426,20.80745341614907,1.4275533351091618,community,1579,166,636,3,805,20.80745341614907,21.80629953108308,0.3540832664515555
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed42,23.850931677018632,1.5004207725406329,community,1768,191,612,2,805,23.850931677018632,21.76204732664849,0.3244536037914252
mapo_enesru_llama3_8b_npo_checkpoint-5,21.366459627329192,1.442905609874731,community,1650,171,632,2,805,21.366459627329192,21.70495927241118,0.2836718906996708
lacomsa_enesru_llama3_8b_dpo_250426,21.180124223602483,1.436940672081814,community,1630,169,633,3,805,21.180124223602483,21.2755679156732,0.3757560640882097
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.354037267080745,1.4895078697072963,community,1782,187,616,2,805,23.354037267080745,21.037828053190346,0.2562218697167616
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,23.354037267080745,1.4895078697072963,community,1820,187,616,2,805,23.354037267080745,20.920123779916707,0.2615995826990195
mapo_enesru_llama3_8b_w-reinforce_200426,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
mapo_enesru_llama3_8b_dpo,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
mapo_enesru_llama3_8b_w-reinforce,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
